Sentence	Token	Sentence index	Token index	First Model NEW_SENSE	Second Model NEW_SENSE
Nekoliko pesama je ranije bilo objavljeno u dnevnom listu „Al-Quds“ (London, 1996) i časopisu „Nizwa“ (Sultanat Oman, 1999).	objavljeno	77.0	6.0	False	False
H2 reaguje sa svakim oksidacionim elementom.	elementom	78.0	6.0	True	False
SnatchBot nudi i besplatne modele za obradu prirodnih jezika.	nudi	80.0	2.0	False	False
SnatchBot nudi i besplatne modele za obradu prirodnih jezika.	modele	80.0	5.0	False	False
U Sjedinjenim Državama 23–41 % pasa ima prekomernu težinu, a oko 5,1 % je gojazno.	težinu	81.0	11.0	False	False
U Sjedinjenim Državama 23–41 % pasa ima prekomernu težinu, a oko 5,1 % je gojazno.	gojazno	81.0	18.0	False	False
Ovakvo takmičenje pružilo je sjajnu priliku deci Kanađana poreklom iz Ukrajine da nauče da govore ukrajinski jezik.	poreklom	82.0	9.0	False	False
Ovakvo takmičenje pružilo je sjajnu priliku deci Kanađana poreklom iz Ukrajine da nauče da govore ukrajinski jezik.	govore	82.0	15.0	False	False
Italijanski astronom Đuzepe Pjaci prvi je otkrio asteroid Ceres, koji se kratko smatrao osmom planetom.	prvi	83.0	5.0	False	False
Italijanski astronom Đuzepe Pjaci prvi je otkrio asteroid Ceres, koji se kratko smatrao osmom planetom.	smatrao	83.0	14.0	False	False
Danas važeće kovanice i novčanice evra pojavile su se 1. januara 2002.	novčanice	84.0	5.0	False	False
Čak i danas, uticaj tih reformi je vidljiv u japanskom kulturnom životu.	uticaj	85.0	5.0	False	False
Čak i danas, uticaj tih reformi je vidljiv u japanskom kulturnom životu.	životu	85.0	13.0	False	False
Ona je najlepša devojka u školi.	školi	86.0	6.0	False	False
Grofovija Edesa bila je prva krstaška država nastala u toku i nakon Prvog krstaškog rata.	prva	87.0	5.0	False	False
Aprila 175. godine, Avidije Kasije, upravnik Sirije, proglasio se carem na osnovu glasina da je Marko Aurelije umro.	godine	88.0	3.0	False	False
Ukratko, kompozicija preslikavanja je uvek asocijativna.	asocijativna	89.0	7.0	False	False
Uz pomoć američke vazdušne i artiljerijske podrške, južnovijetnamske trupe su izvršile invaziju na Laos.	podrške	90.0	7.0	False	False
Uglavnom nije moguće zaraziti se sifilisom preko WC šolje, tokom svakodnevnih aktivnosti, u đakuziju, korišćenjem istog pribora za jelo ili odeće.	zaraziti			True	False
Uglavnom nije moguće zaraziti se sifilisom preko WC šolje, tokom svakodnevnih aktivnosti, u đakuziju, korišćenjem istog pribora za jelo ili odeće.	moguće	91.0	3.0	False	False
Ove praznine su naknadno popunjene pošto su hemičari otkrili još neke prirodne elemente.	praznine	92.0	2.0	True	False
Ove praznine su naknadno popunjene pošto su hemičari otkrili još neke prirodne elemente.	otkrili	92.0	9.0	False	False
Ime potiče od francuske transkripcije imena mitološkog lika–Arijadne.	potiče	93.0	2.0	False	False
Ser Vilijam Osler ga je nazvao „velikim imitatorom“ zbog njegovih raznovrsnih oblika.	Ser	94.0	1.0	True	False
Ser Vilijam Osler ga je nazvao „velikim imitatorom“ zbog njegovih raznovrsnih oblika.	nazvao	94.0	6.0	True	False
Ser Vilijam Osler ga je nazvao „velikim imitatorom“ zbog njegovih raznovrsnih oblika.	velikim	94.0	8.0	False	False
Ser Vilijam Osler ga je nazvao „velikim imitatorom“ zbog njegovih raznovrsnih oblika.	oblika	94.0	14.0	False	False
Kod osoba s nejasnim simptomima nekada je teško postaviti dijagnozu jer bakterije mogu biti prisutne iako nema infekcije.	teško	95.0	8.0	False	False
Jedan sat je podeljen na 60 minuta, a jedan minut na 60 sekundi.	podeljen	96.0	4.0	False	False
U Francuskoj postoji deset velikih luka, a najveća je ona u Marseju, ujedno i najveća od onih koje izlaze na Sredozemno more.	luka	97.0	6.0	False	False
U izvesnom trenutku Genik upoznaje Džozefa Oleskiva, čoveka koji je podsticao imigraciju Ukrajinaca u Kanadu.	upoznaje	98.0	5.0	False	False
U izvesnom trenutku Genik upoznaje Džozefa Oleskiva, čoveka koji je podsticao imigraciju Ukrajinaca u Kanadu.	podsticao	98.0	12.0	False	False
Ljudi s porodičnom istorijom šizofrenije koji imaju prolaznu psihozu imaju 20–40 % šanse da im se šizofrenija dijagnostikuje godinu dana kasnije.	prolaznu	100.0	8.0	False	False
Ljudi s porodičnom istorijom šizofrenije koji imaju prolaznu psihozu imaju 20–40 % šanse da im se šizofrenija dijagnostikuje godinu dana kasnije.	imaju	100.0	10.0	True	False
Bolest se u početnoj fazi dijagnostikuje kada se mikroskopom uoče paraziti u krvi.	Bolest	102.0	1.0	True	False
Bolest se u početnoj fazi dijagnostikuje kada se mikroskopom uoče paraziti u krvi.	uoče	102.0	10.0	False	False
Smatra se da je ovo prva holandska rokenrol ploča.	Smatra	103.0	1.0	False	False
Neki uzroci su povezani s uobičajenim ali nespecifičnim kliničkim karakteristikama.	uzroci	104.0	2.0	False	False
Neki uzroci su povezani s uobičajenim ali nespecifičnim kliničkim karakteristikama.	uobičajenim	104.0	6.0	False	False
Zahvaljujući njegovom vođstvu i vojnim uspesima tokom ratova postao je nacionalni heroj.	postao	105.0	9.0	False	False
Kao i u mnogim germanskim plemenima, pravna tradicija Burgundaca dozvoljavala je primenu zasebnih zakona za različite etničke grupe.	germanskim	107.0	5.0	False	False
Kao i u mnogim germanskim plemenima, pravna tradicija Burgundaca dozvoljavala je primenu zasebnih zakona za različite etničke grupe.	plemenima	107.0	6.0	False	False
Kao i u mnogim germanskim plemenima, pravna tradicija Burgundaca dozvoljavala je primenu zasebnih zakona za različite etničke grupe.	dozvoljavala	107.0	11.0	True	False
Nekada zemlja šuma i močvara, Tverska kneževina je brzo pretvorena u jednu od najbogatijih i najnaseljenijih ruskih država.	zemlja	108.0	2.0	False	False
Nekada zemlja šuma i močvara, Tverska kneževina je brzo pretvorena u jednu od najbogatijih i najnaseljenijih ruskih država.	brzo	108.0	10.0	False	False
Nekada zemlja šuma i močvara, Tverska kneževina je brzo pretvorena u jednu od najbogatijih i najnaseljenijih ruskih država.	pretvorena	108.0	11.0	False	False
Nekada zemlja šuma i močvara, Tverska kneževina je brzo pretvorena u jednu od najbogatijih i najnaseljenijih ruskih država.	najbogatijih	108.0	15.0	False	False
Stažirala je za UNICEF šest meseci u Njujorku i radila za odeljenje Službe za zaštitu dece.	meseci	110.0	6.0	False	False
Stažirala je za UNICEF šest meseci u Njujorku i radila za odeljenje Službe za zaštitu dece.	radila	110.0	10.0	False	False
Izvestan broj mera za povećanje dostupnosti testiranja pokazao se efikasnim u smanjenju stope kongenitalnog sifilisa u zemljama s niskim i srednjim dohotkom.	Izvestan	111.0	1.0	False	False
Izvestan broj mera za povećanje dostupnosti testiranja pokazao se efikasnim u smanjenju stope kongenitalnog sifilisa u zemljama s niskim i srednjim dohotkom.	mera	111.0	3.0	False	False
Izvestan broj mera za povećanje dostupnosti testiranja pokazao se efikasnim u smanjenju stope kongenitalnog sifilisa u zemljama s niskim i srednjim dohotkom.	testiranja	111.0	7.0	False	False
Izvestan broj mera za povećanje dostupnosti testiranja pokazao se efikasnim u smanjenju stope kongenitalnog sifilisa u zemljama s niskim i srednjim dohotkom.	efikasnim	111.0	10.0	False	False
Izvestan broj mera za povećanje dostupnosti testiranja pokazao se efikasnim u smanjenju stope kongenitalnog sifilisa u zemljama s niskim i srednjim dohotkom.	niskim	111.0	19.0	False	False
Izvestan broj mera za povećanje dostupnosti testiranja pokazao se efikasnim u smanjenju stope kongenitalnog sifilisa u zemljama s niskim i srednjim dohotkom.	srednjim	111.0	21.0	False	False
Zapremina trodimenzionalne jedinične kocke je jedna kubna jedinica, a njena ukupna površina je 6 kvadratnih jedinica.	kubna	114.0	7.0	False	False
Zapremina trodimenzionalne jedinične kocke je jedna kubna jedinica, a njena ukupna površina je 6 kvadratnih jedinica.	površina	114.0	13.0	False	False
Svetska zdravstvena organizacija preporučuje terapiju lekovima albendazol, mebendazol, levamisol ili pirantel pamoat.	organizacija	115.0	3.0	False	False
Primer je specifičan jednonukleotidni polimorfizam u regionu CD14 i izloženost endotoksinu (bakterijskom produktu).	Primer	116.0	1.0	False	False
Primer je specifičan jednonukleotidni polimorfizam u regionu CD14 i izloženost endotoksinu (bakterijskom produktu).	specifičan	116.0	3.0	True	False
Nakon što je povratio svoju prestonicu, kralj je sagradio hram u znak zahvalnosti božanstvu.	povratio	117.0	4.0	False	False
Nakon što je povratio svoju prestonicu, kralj je sagradio hram u znak zahvalnosti božanstvu.	sagradio	117.0	10.0	False	False
Početkom XX veka psihijatar Kurt Šnajder sastavio je listu psihotičnih simptoma za koje je verovao da razlikuju šizofreniju od drugih psihotičnih poremećaja.	Početkom	118.0	1.0	False	False
Početkom XX veka psihijatar Kurt Šnajder sastavio je listu psihotičnih simptoma za koje je verovao da razlikuju šizofreniju od drugih psihotičnih poremećaja.	veka	118.0	3.0	False	False
Početkom XX veka psihijatar Kurt Šnajder sastavio je listu psihotičnih simptoma za koje je verovao da razlikuju šizofreniju od drugih psihotičnih poremećaja.	sastavio	118.0	7.0	True	False
Početkom XX veka psihijatar Kurt Šnajder sastavio je listu psihotičnih simptoma za koje je verovao da razlikuju šizofreniju od drugih psihotičnih poremećaja.	drugih	118.0	20.0	False	False
Otuda na Marsu nema potpunih pomračenja Sunca, jer su njegovi meseci suviše mali da bi u potpunosti prekrili Sunce.	potpunih	119.0	5.0	False	False
Otuda na Marsu nema potpunih pomračenja Sunca, jer su njegovi meseci suviše mali da bi u potpunosti prekrili Sunce.	prekrili	119.0	19.0	False	False
Papa Urban II je 1095. godine pozvao na krstaški rat protiv muslimana koji su okupirali Jerusalim i Svetu zemlju.	godine	120.0	6.0	False	False
Papa Urban II je 1095. godine pozvao na krstaški rat protiv muslimana koji su okupirali Jerusalim i Svetu zemlju.	zemlju	120.0	19.0	False	False
Prvi put se pominje u XII veku.	Prvi	121.0	1.0	False	False
Nagrada je uključivala 37.200 dolara, što je najveći iznos dodeljen nekom pojedincu u istoriji Nase.	Nagrada	122.0	1.0	False	False
Nagrada je uključivala 37.200 dolara, što je najveći iznos dodeljen nekom pojedincu u istoriji Nase.	istoriji	122.0	15.0	False	False
Njegovo ime potiče od poslednje dve cifre bar-koda s njegovog potiljka.	potiče	123.0	3.0	False	False
Neke ajkule izgube 30.000 ili više zuba tokom života.	izgube	124.0	3.0	True	False
Sumerci su koristili robove, ali se ekonomija nije oslanjala na njih.	koristili	125.0	3.0	True	False
Sumerci su koristili robove, ali se ekonomija nije oslanjala na njih.	ekonomija	125.0	8.0	False	False
Zbog toga su mnogi slonovi bili naročito veliki, često teški i preko devet tona.	tona	126.0	15.0	False	False
Od 9,8 milijardi evra humanitarne pomoći pružane širom sveta 2010. godine, oko 41 % je isporučila EU.	godine	127.0	11.0	False	False
To se pripisuje rizičnom seksualnom ponašanju, kao što je seksualni promiskuitet, prostitucija i smanjena upotreba zaštitnih sredstava.	zaštitnih	128.0	18.0	False	False
To se pripisuje rizičnom seksualnom ponašanju, kao što je seksualni promiskuitet, prostitucija i smanjena upotreba zaštitnih sredstava.	sredstava	128.0	19.0	False	False
Porodična istorija je faktor rizika za astmu, a u tome učestvuje mnogo različitih gena.	mnogo	129.0	13.0	False	False
Porodična istorija je faktor rizika za astmu, a u tome učestvuje mnogo različitih gena.	različitih	129.0	14.0	False	False
Poznato je, međutim, da mu roditelji nisu bili naklonjeni i da su mu pružali veoma malo ljubavi.	Poznato	130.0	1.0	False	False
Poznato je, međutim, da mu roditelji nisu bili naklonjeni i da su mu pružali veoma malo ljubavi.	veoma	130.0	17.0	False	False
Hrišćanski car Teodosije uveo je zakone po kojima su zabranjivani paganski obredi i zatvarani hramovi.	uveo	133.0	4.0	False	False
Ako se posmatra s površine Marsa, blizu njegovog ekvatora, puni Fobos izgleda velik otprilike kao jedna trećina punog meseca na Zemlji.	ekvatora	134.0	10.0	True	False
Ako se posmatra s površine Marsa, blizu njegovog ekvatora, puni Fobos izgleda velik otprilike kao jedna trećina punog meseca na Zemlji.	puni	134.0	12.0	False	False
Primarni sifilis obično se dobija direktnim seksualnim kontaktom sa infektivnim lezijama druge osobe.	direktnim	135.0	6.0	True	False
Primarni sifilis obično se dobija direktnim seksualnim kontaktom sa infektivnim lezijama druge osobe.	druge	135.0	12.0	False	False
Bilo je mnogo neuspešnih pokušaja da se sumerski jezik poveže sa drugim jezičkim porodicama.	mnogo	136.0	3.0	False	False
Bilo je mnogo neuspešnih pokušaja da se sumerski jezik poveže sa drugim jezičkim porodicama.	poveže	136.0	10.0	False	False
Veliki konvoj oklopnih jedinica JNA krenuo je iz Beograda ujutro 3. jula, navodno ka Sloveniji.	navodno	137.0	14.0	False	False
Godine 857. sagrađena je kapela u selu Vlamertinge.	Godine	138.0	1.0	False	False
Godine 857. sagrađena je kapela u selu Vlamertinge.	sagrađena	138.0	3.0	False	False
Poduhvat je doživeo neuspeh; Orljenjev se vratio u Rusiju, dok je Nazimova ostala u Njujorku.	doživeo	139.0	3.0	False	False
Fijat 3000 je bio prvi tenk koji je serijski proizveden u Italiji.	prvi	140.0	5.0	False	False
Svetska zdravstvena organizacija procenjuje da je svaka treća smrt novorođenčeta posledica upale pluća.	Svetska	141.0	1.0	False	False
Svetska zdravstvena organizacija procenjuje da je svaka treća smrt novorođenčeta posledica upale pluća.	organizacija	141.0	3.0	False	False
U sukobu je poginulo 12 stranih državljana, uglavnom novinara i bugarskih vozača kamiona koji su zalutali na liniju vatre.	kamiona	142.0	14.0	True	False
Svi datumi su dati po julijanskom kalendaru.	datumi	143.0	2.0	False	False
Svi datumi su dati po julijanskom kalendaru.	dati	143.0	4.0	False	False
Prognoza kod astme je uglavnom dobra, naročito kod dece sa blagim oblikom bolesti.	naročito	145.0	8.0	False	False
Prognoza kod astme je uglavnom dobra, naročito kod dece sa blagim oblikom bolesti.	oblikom	145.0	13.0	False	False
