Sentence	Token	Sentence index	Token index	First Model NEW_SENSE	Second Model NEW_SENSE
Cilj programa je da kroz fudbal neguje kod mlađe generacije osnovne vrednosti i interesovanje za zdrav način života.	zdrav	21.0	16.0	False	False
U programu su prvi put učestvovali mladi učesnici sa azijskog kontinenta–dečji fudbalski timovi iz Japana, Kine i Kazahstana.	programu	22.0	2.0	True	False
U programu su prvi put učestvovali mladi učesnici sa azijskog kontinenta–dečji fudbalski timovi iz Japana, Kine i Kazahstana.	učestvovali	22.0	6.0	False	False
U programu su prvi put učestvovali mladi učesnici sa azijskog kontinenta–dečji fudbalski timovi iz Japana, Kine i Kazahstana.	učesnici	22.0	8.0	False	False
Mladi novinari pres centra iznose svoje viđenje učešća u Programu, realizujući format „deca o deci“.	Programu	23.0	10.0	True	False
Do kraja godine preostalo je 357 dana (358 u prestupnoj godini).	godine	25.0	3.0	False	False
Do kraja godine preostalo je 357 dana (358 u prestupnoj godini).	dana	25.0	7.0	False	False
Na treningu je golman FK Zenit Jurij Lodigin dao visoku ocenu Zaharovim sposobnostima i podelio s njim neke golmanske tajne.	visoku	26.0	10.0	False	False
Na treningu je golman FK Zenit Jurij Lodigin dao visoku ocenu Zaharovim sposobnostima i podelio s njim neke golmanske tajne.	podelio	26.0	15.0	False	False
Učesnici Programa su mladi fudbaleri i novinari iz 211 zemalja i regiona sveta.	Učesnici	27.0	1.0	False	False
Učesnici Programa su mladi fudbaleri i novinari iz 211 zemalja i regiona sveta.	Programa	27.0	2.0	True	False
Učesnici Programa su mladi fudbaleri i novinari iz 211 zemalja i regiona sveta.	sveta	27.0	13.0	False	False
Sve aktivnosti programa Fudbal za prijateljstvo počinju razmenom narukvica prijateljstva, simbola ravnopravnosti i zdravog načina života.	programa	28.0	3.0	True	False
Sve aktivnosti programa Fudbal za prijateljstvo počinju razmenom narukvica prijateljstva, simbola ravnopravnosti i zdravog načina života.	prijateljstvo	28.0	6.0	False	False
Sve aktivnosti programa Fudbal za prijateljstvo počinju razmenom narukvica prijateljstva, simbola ravnopravnosti i zdravog načina života.	počinju	28.0	7.0	False	False
Sve aktivnosti programa Fudbal za prijateljstvo počinju razmenom narukvica prijateljstva, simbola ravnopravnosti i zdravog načina života.	prijateljstva	28.0	10.0	False	False
Sve aktivnosti programa Fudbal za prijateljstvo počinju razmenom narukvica prijateljstva, simbola ravnopravnosti i zdravog načina života.	zdravog	28.0	15.0	False	False
Kasnije je pismo poslato čelnicima UEFA, FIFA i MOK.	poslato	29.0	4.0	False	False
Pobednik Međunarodnog turnira u uličnom fudbalu 2014. bio je juniorski tim Benfika.	tim	30.0	11.0	False	False
Početkom 2005. Stiv Grinberg, novi predsednik Kolumbija rekordsa, slušao je Nikovu ploču.	Početkom	31.0	1.0	False	False
Početkom 2005. Stiv Grinberg, novi predsednik Kolumbija rekordsa, slušao je Nikovu ploču.	novi	31.0	6.0	False	False
Prvi put u programu Fudbal za prijateljstvo učestvovala su deca iz Meksika i Sjedinjenih Država.	programu	33.0	4.0	True	False
Prvi put u programu Fudbal za prijateljstvo učestvovala su deca iz Meksika i Sjedinjenih Država.	prijateljstvo	33.0	7.0	False	False
Prvi put u programu Fudbal za prijateljstvo učestvovala su deca iz Meksika i Sjedinjenih Država.	učestvovala	33.0	8.0	False	False
Prvi put u programu Fudbal za prijateljstvo učestvovala su deca iz Meksika i Sjedinjenih Država.	Država	33.0	15.0	False	False
U trećoj sezoni su učestvovali juniorski timovi, ukupno 24 fudbalska kluba iz 24 zemlje.	učestvovali	34.0	5.0	False	False
U trećoj sezoni su učestvovali juniorski timovi, ukupno 24 fudbalska kluba iz 24 zemlje.	timovi	34.0	7.0	False	False
U trećoj sezoni su učestvovali juniorski timovi, ukupno 24 fudbalska kluba iz 24 zemlje.	kluba	34.0	12.0	True	False
17. januar je sedamnaesti dan u godini po gregorijanskom kalendaru.	dan	35.0	5.0	False	False
Ovaj praznik je prvi put obeležen 2014. godine u 16 zemalja.	godine	36.0	8.0	False	False
Ovo iskustvo imalo je snažan uticaj na njegov kasniji rad.	iskustvo	38.0	2.0	False	False
Ovo iskustvo imalo je snažan uticaj na njegov kasniji rad.	snažan	38.0	5.0	False	False
Razvojna biologija proučava proces rasta i razvoja organizama.	proučava	39.0	3.0	True	False
Venus ekspres je bila prva misija istraživanja Venere koju je sprovela Evropska svemirska agencija (ESA).	prva	40.0	5.0	False	False
Venus ekspres je bila prva misija istraživanja Venere koju je sprovela Evropska svemirska agencija (ESA).	istraživanja	40.0	7.0	False	False
Venus ekspres je bila prva misija istraživanja Venere koju je sprovela Evropska svemirska agencija (ESA).	sprovela	40.0	11.0	True	False
Godine 1923, zajedno sa svojim pomoćnikom Erihom Hikelom, doradio je teoriju Svantea Arheniusa o električnoj provodljivosti u rastvorima elektrolita.	Godine	41.0	1.0	False	False
Godine 1923, zajedno sa svojim pomoćnikom Erihom Hikelom, doradio je teoriju Svantea Arheniusa o električnoj provodljivosti u rastvorima elektrolita.	pomoćnikom	41.0	7.0	False	False
U Americi, kao i u našoj zemlji, postoji nuklearno oružje–užasno oružje koje može da ubije milione ljudi u trenutku.	ubije	42.0	19.0	False	False
Njutn se definiše kao količina sile potrebne za ubrzanje mase jednog kilograma kroz jedan metar u sekundi na kvadrat.	Njutn	43.0	1.0	True	False
Njutn se definiše kao količina sile potrebne za ubrzanje mase jednog kilograma kroz jedan metar u sekundi na kvadrat.	količina	43.0	5.0	True	False
Njutn se definiše kao količina sile potrebne za ubrzanje mase jednog kilograma kroz jedan metar u sekundi na kvadrat.	potrebne	43.0	7.0	True	False
U početku se često dodeljivalo više od jedne medalje godišnje, ali od 1833. godine dodeljivana je samo jedna medalja godišnje.	dodeljivalo	45.0	5.0	False	False
U početku se često dodeljivalo više od jedne medalje godišnje, ali od 1833. godine dodeljivana je samo jedna medalja godišnje.	godine	45.0	15.0	False	False
U početku se često dodeljivalo više od jedne medalje godišnje, ali od 1833. godine dodeljivana je samo jedna medalja godišnje.	dodeljivana	45.0	16.0	False	False
Čuvene poslednje reči Fransa Samuta bile su: „Moja žena i ja bi trebali da idemo u Jerusalim, ali izgleda da su se planovi promenili.“	izgleda	47.0	22.0	False	False
Posle 8–12 nedelja pojedine osobe ulaze u hroničnu fazu bolesti, a u 60–70 % slučajeva više se ne javljaju simptomi.	bolesti	50.0	12.0	False	False
Nekoliko godina kasnije (1906) objavio je svoj Słownik chemiczny, prvi poljski hemijski rečnik.	Nekoliko	51.0	1.0	False	False
Nekoliko godina kasnije (1906) objavio je svoj Słownik chemiczny, prvi poljski hemijski rečnik.	prvi	51.0	13.0	False	False
Uglavnom predlažemo prekid njihove dalje proizvodnje i početak uklanjanja svih zaliha na Zemlji.	zaliha	52.0	11.0	False	False
Poljoprivreda je prilično ograničena, budući da je samo 2 % zemljišta obradivo i hrana se većinom uvozi.	prilično	54.0	3.0	False	False
Poljoprivreda je prilično ograničena, budući da je samo 2 % zemljišta obradivo i hrana se većinom uvozi.	ograničena	54.0	4.0	False	False
Prvi drveni slavoluk podignut je u žurbi, nakon sticanja nezavisnosti Rumunije (1878), kako bi pobedničke trupe mogle da prođu ispod njega.	Prvi	55.0	1.0	False	False
Prvi drveni slavoluk podignut je u žurbi, nakon sticanja nezavisnosti Rumunije (1878), kako bi pobedničke trupe mogle da prođu ispod njega.	prođu	55.0	23.0	False	False
Detalji ovog procesa zavise od količine i vrste materije u univerzumu.	Detalji	56.0	1.0	False	False
Ova knjiga je u našoj zemlji dobro poznata i omiljena je svim dečacima i devojčicama.	knjiga	58.0	2.0	False	False
Ova knjiga je u našoj zemlji dobro poznata i omiljena je svim dečacima i devojčicama.	zemlji	58.0	6.0	False	False
Olimpijske igre 1916. dodeljene su Berlinu, ali su otkazane zbog Prvog svetskog rata.	Prvog	61.0	12.0	False	False
Članovi se sastaju u svojim nacionalnim delegacijama pre plenarnih sednica i drugih događaja kako bi razgovarali o zajedničkim stavovima.	nacionalnim	62.0	6.0	False	False
Članovi se sastaju u svojim nacionalnim delegacijama pre plenarnih sednica i drugih događaja kako bi razgovarali o zajedničkim stavovima.	drugih	62.0	12.0	False	False
Članovi se sastaju u svojim nacionalnim delegacijama pre plenarnih sednica i drugih događaja kako bi razgovarali o zajedničkim stavovima.	događaja	62.0	13.0	False	False
Članovi se sastaju u svojim nacionalnim delegacijama pre plenarnih sednica i drugih događaja kako bi razgovarali o zajedničkim stavovima.	razgovarali	62.0	16.0	False	False
Članovi se sastaju u svojim nacionalnim delegacijama pre plenarnih sednica i drugih događaja kako bi razgovarali o zajedničkim stavovima.	zajedničkim	62.0	18.0	False	False
Korisnici mogu da predlože podatke za koje smatraju da nedostaju na portalu i da daju povratne informacije o kvalitetu podataka koji se mogu dobiti.	predlože	63.0	4.0	False	False
Korisnici mogu da predlože podatke za koje smatraju da nedostaju na portalu i da daju povratne informacije o kvalitetu podataka koji se mogu dobiti.	daju	63.0	15.0	False	False
Korisnici mogu da predlože podatke za koje smatraju da nedostaju na portalu i da daju povratne informacije o kvalitetu podataka koji se mogu dobiti.	informacije	63.0	17.0	False	False
On je odgovoran za sprovođenje odluka predsednika i Biroa i nesmetano funkcionisanje administracije Evropskog odbora regija (CoR).	odgovoran	64.0	3.0	False	False
On je odgovoran za sprovođenje odluka predsednika i Biroa i nesmetano funkcionisanje administracije Evropskog odbora regija (CoR).	predsednika	64.0	7.0	False	False
On je odgovoran za sprovođenje odluka predsednika i Biroa i nesmetano funkcionisanje administracije Evropskog odbora regija (CoR).	Biroa	64.0	9.0	True	False
Početni cilj je bio definisanje standarda XML za razmenu informacija o robnim markama.	cilj	66.0	2.0	False	False
Početni cilj je bio definisanje standarda XML za razmenu informacija o robnim markama.	standarda	66.0	6.0	True	False
Kao šef administracije Evropskog odbora regija (CoR), generalni sekretar ne sme imati političku funkciju.	administracije	67.0	3.0	False	False
Kao šef administracije Evropskog odbora regija (CoR), generalni sekretar ne sme imati političku funkciju.	sme	67.0	14.0	False	False
Kao šef administracije Evropskog odbora regija (CoR), generalni sekretar ne sme imati političku funkciju.	imati	67.0	15.0	False	False
Evropski odbor regija (CoR) takođe može da sačini mišljenje na sopstvenu inicijativu, što mu omogućava da stavlja pitanja na dnevni red EU.	mišljenje	68.0	11.0	False	False
Nivo finansiranja ESF-a se razlikuje od regiona do regiona u zavisnosti od njihovog relativnog bogatstva.	finansiranja	70.0	2.0	False	False
Nivo finansiranja ESF-a se razlikuje od regiona do regiona u zavisnosti od njihovog relativnog bogatstva.	bogatstva	70.0	15.0	False	False
Evropska socijalna agenda takođe igra ulogu u oblikovanju prioriteta potrošnje ESF-a.	igra			False	False
Evropska socijalna agenda takođe igra ulogu u oblikovanju prioriteta potrošnje ESF-a.	oblikovanju	71.0	8.0	False	False
Portal otvorenih podataka EU je mesto za pristup javnim podacima koje objavljuju institucije, agencije i druga tela EU.	otvorenih	72.0	2.0	False	False
Portal otvorenih podataka EU je mesto za pristup javnim podacima koje objavljuju institucije, agencije i druga tela EU.	institucije	72.0	13.0	True	False
Portal otvorenih podataka EU je mesto za pristup javnim podacima koje objavljuju institucije, agencije i druga tela EU.	tela	72.0	18.0	True	False
Organi za sertifikaciju i reviziju su takođe imenovani da prate i obezbede usklađenost troškova sa uredbom ESF-a.	imenovani	73.0	8.0	False	False
Organi za sertifikaciju i reviziju su takođe imenovani da prate i obezbede usklađenost troškova sa uredbom ESF-a.	obezbede	73.0	12.0	False	False
Organi za sertifikaciju i reviziju su takođe imenovani da prate i obezbede usklađenost troškova sa uredbom ESF-a.	uredbom	73.0	16.0	True	False
Pobednici iz prethodnih godina su pozvani da nastupe kao specijalni gosti.	Pobednici	74.0	1.0	False	False
Pobednici iz prethodnih godina su pozvani da nastupe kao specijalni gosti.	prethodnih	74.0	3.0	False	False
Pobednici iz prethodnih godina su pozvani da nastupe kao specijalni gosti.	pozvani	74.0	6.0	False	False
Pobednici iz prethodnih godina su pozvani da nastupe kao specijalni gosti.	nastupe	74.0	8.0	False	False
Pobednici iz prethodnih godina su pozvani da nastupe kao specijalni gosti.	kao	74.0	9.0	False	False
Kada se usaglase strategija i raspodela budžeta, primenjuje se zajednički pristup programiranju.	budžeta	75.0	7.0	False	False
Kada se usaglase strategija i raspodela budžeta, primenjuje se zajednički pristup programiranju.	zajednički	75.0	11.0	False	False
Kada se usaglase strategija i raspodela budžeta, primenjuje se zajednički pristup programiranju.	programiranju	75.0	13.0	False	False
Interfejs je na 24 zvanična jezika EU, ali većina metapodataka je trenutno dostupna na ograničenom broju jezika (engleski, francuski i nemački).	ograničenom	76.0	16.0	False	False
Sa portala korisnici mogu pristupiti podacima objavljenim na internet stranicama različitih institucija, agencija i drugih organa EU.	različitih	77.0	11.0	False	False
Sa portala korisnici mogu pristupiti podacima objavljenim na internet stranicama različitih institucija, agencija i drugih organa EU.	institucija	77.0	12.0	True	False
Države članice određuju nacionalne organe upravljanja ESF-om, koji su odgovorni za odabir projekata, isplatu sredstava i procenu napretka i rezultata projekata.	nacionalne	78.0	4.0	False	False
Države članice određuju nacionalne organe upravljanja ESF-om, koji su odgovorni za odabir projekata, isplatu sredstava i procenu napretka i rezultata projekata.	sredstava	78.0	17.0	False	False
Ovi zajednički prioriteti su zatim uzeti u obzir u smernicama za zapošljavanje i uključeni u nacionalne programe reformi koje su pripremile pojedine države članice.	zajednički	79.0	2.0	False	False
Ovi zajednički prioriteti su zatim uzeti u obzir u smernicama za zapošljavanje i uključeni u nacionalne programe reformi koje su pripremile pojedine države članice.	zatim	79.0	5.0	False	False
Ovi zajednički prioriteti su zatim uzeti u obzir u smernicama za zapošljavanje i uključeni u nacionalne programe reformi koje su pripremile pojedine države članice.	uključeni	79.0	14.0	False	False
Ovi zajednički prioriteti su zatim uzeti u obzir u smernicama za zapošljavanje i uključeni u nacionalne programe reformi koje su pripremile pojedine države članice.	pripremile	79.0	21.0	False	False
Do 1903. ukrajinsko imigrantsko stanovništvo u zapadnoj Kanadi postalo je dovoljno veliko da privuče pažnju verskih vođa, političara i prosvetnih radnika.	postalo	80.0	9.0	False	False
Do 1903. ukrajinsko imigrantsko stanovništvo u zapadnoj Kanadi postalo je dovoljno veliko da privuče pažnju verskih vođa, političara i prosvetnih radnika.	dovoljno	80.0	11.0	False	False
Do 1903. ukrajinsko imigrantsko stanovništvo u zapadnoj Kanadi postalo je dovoljno veliko da privuče pažnju verskih vođa, političara i prosvetnih radnika.	privuče	80.0	14.0	False	False
Prvobitno je osmišljen za prevođenje između blisko povezanih jezika, mada je nedavno proširen za obradu udaljenijih jezičkih parova.	blisko	82.0	7.0	False	False
Prvobitno je osmišljen za prevođenje između blisko povezanih jezika, mada je nedavno proširen za obradu udaljenijih jezičkih parova.	proširen	82.0	14.0	False	False
Steroidi se daju rutinski, a epinefrin se koristi u ozbiljnim slučajevima.	Steroidi	83.0	1.0	True	False
Steroidi se daju rutinski, a epinefrin se koristi u ozbiljnim slučajevima.	koristi	83.0	9.0	False	False
Steroidi se daju rutinski, a epinefrin se koristi u ozbiljnim slučajevima.	slučajevima	83.0	12.0	False	False
IMI omogućava javnim upravama na nacionalnom, regionalnom i lokalnom nivou da pronađu svoje kolege u drugim zemljama i da razmenjuju informacije s njima.	drugim	84.0	17.0	False	False
Graf koji sadrži Hamiltonov ciklus naziva se Hamiltonov graf.	sadrži	85.0	3.0	False	False
Čir može biti veći iznutra nego na površini kože i može biti okružen otokom.	površini	86.0	8.0	False	False
Čir može biti veći iznutra nego na površini kože i može biti okružen otokom.	kože	86.0	9.0	False	False
Takođe se može primeniti na životinje ili biljke.	primeniti	87.0	4.0	False	False
Izrađuju se uz pomoć spoljnih stručnjaka.	spoljnih	88.0	5.0	False	False
Virusna pneumonija javlja se u oko 200 miliona slučajeva.	slučajeva	89.0	9.0	False	False
Jedna doza je obično sve što je potrebno i generalno se smatra prilično bezbednom.	obično	90.0	4.0	False	False
Jedna doza je obično sve što je potrebno i generalno se smatra prilično bezbednom.	generalno	90.0	10.0	False	False
Jedna doza je obično sve što je potrebno i generalno se smatra prilično bezbednom.	smatra	90.0	12.0	False	False
Jedna doza je obično sve što je potrebno i generalno se smatra prilično bezbednom.	bezbednom	90.0	14.0	False	False
Međunarodni dečji pres centar objedinjuje pobednike nacionalnih takmičenja za najboljeg mladog novinara, mlade blogere, fotografe i pisce.	pobednike	92.0	6.0	False	False
Nižnji Novgorod je bio domaćin prijateljske utakmice za mlade fudbalere FK Volga, a odrasli igrači kluba su vodili zagrevanje i trening za decu.	kluba	93.0	17.0	True	False
Na kraju Foruma učesnici su tradicionalno prisustvovali finalu UEFA Lige šampiona.	učesnici	95.0	4.0	False	False
Na kraju Foruma učesnici su tradicionalno prisustvovali finalu UEFA Lige šampiona.	Lige	95.0	10.0	True	False
U Moskvi je, uz podršku Sportskog saveza slepih, organizovan Turnir jednakih mogućnosti.	Sportskog	96.0	7.0	False	False
U Moskvi je, uz podršku Sportskog saveza slepih, organizovan Turnir jednakih mogućnosti.	jednakih	96.0	13.0	False	False
Servantesov uticaj na španski jezik bio je toliko veliki da se jezik često naziva „la lengua de Cervantes“ („Servantesov jezik“).	uticaj	97.0	2.0	False	False
Servantesov uticaj na španski jezik bio je toliko veliki da se jezik često naziva „la lengua de Cervantes“ („Servantesov jezik“).	toliko	97.0	8.0	False	False
Servantesov uticaj na španski jezik bio je toliko veliki da se jezik često naziva „la lengua de Cervantes“ („Servantesov jezik“).	veliki	97.0	9.0	False	False
To je ono čemu nas je učio veliki osnivač naše države, Vladimir Lenjin.	veliki	98.0	8.0	False	False
Deli granicu sa svim južnoameričkim državama, osim s Ekvadorom i Čileom.	Deli	99.0	1.0	False	False
Da, Samanta, mi u Sovjetskom Savezu pokušavamo da učinimo sve da ne dođe do rata na Zemlji.	Savezu	100.0	8.0	False	False
Pavija je pala posle trogodišnje opsade, 572. godine, i postala prva prestonica nove lombardijske kraljevine Italije.	pala	102.0	3.0	False	False
Pavija je pala posle trogodišnje opsade, 572. godine, i postala prva prestonica nove lombardijske kraljevine Italije.	postala	102.0	12.0	False	False
Pavija je pala posle trogodišnje opsade, 572. godine, i postala prva prestonica nove lombardijske kraljevine Italije.	prva	102.0	13.0	False	False
Misija Apolo 12 bila je šesta s ljudskom posadom u Apolo programu Sjedinjenih Država i druga koja je sletela na Mesec.	Misija	103.0	1.0	True	False
Misija Apolo 12 bila je šesta s ljudskom posadom u Apolo programu Sjedinjenih Država i druga koja je sletela na Mesec.	posadom	103.0	9.0	True	False
Misija Apolo 12 bila je šesta s ljudskom posadom u Apolo programu Sjedinjenih Država i druga koja je sletela na Mesec.	sletela	103.0	19.0	False	False
Orden Britanske imperije 4. juna 1917. ustanovio je britanski kralj Džordž V.	ustanovio	104.0	7.0	False	False
Zbog toga je smatrao da je glavni zadatak vojskovođe opsežna priprema svih mogućih ishoda.	smatrao	105.0	4.0	False	False
Zbog toga je smatrao da je glavni zadatak vojskovođe opsežna priprema svih mogućih ishoda.	zadatak	105.0	8.0	False	False
Zbog toga je smatrao da je glavni zadatak vojskovođe opsežna priprema svih mogućih ishoda.	ishoda	105.0	14.0	True	False
Palaco je sada najveći muzejski kompleks u Firenci.	muzejski	106.0	5.0	False	False
Taj brak je predložen kao način za uspostavljanje prijateljstva između Danske i Švedske.	prijateljstva	108.0	9.0	False	False
Gornja strana je plava, a donja zelena.	strana	111.0	2.0	False	False
Obrazovani grčki robovi su bili veoma traženi u Rimu u ulozi lekara i učitelja, a obrazovani muškarci su predstavljali značajan deo izvoza.	učitelja	112.0	14.0	False	False
Obrazovani grčki robovi su bili veoma traženi u Rimu u ulozi lekara i učitelja, a obrazovani muškarci su predstavljali značajan deo izvoza.	predstavljali	112.0	20.0	False	False
Obrazovani grčki robovi su bili veoma traženi u Rimu u ulozi lekara i učitelja, a obrazovani muškarci su predstavljali značajan deo izvoza.	značajan	112.0	21.0	False	False
Iako se Grinbergu nije dopao album, dopao mu se Nikov glas.	album	113.0	6.0	True	False
Iako se Grinbergu nije dopao album, dopao mu se Nikov glas.	glas	113.0	12.0	False	False
Iako je jezero Kjoga deo sistema afričkih Velikih jezera, ono se samo po sebi ne smatra velikim jezerom.	smatra	114.0	17.0	True	False
Iako je jezero Kjoga deo sistema afričkih Velikih jezera, ono se samo po sebi ne smatra velikim jezerom.	velikim	114.0	18.0	True	False
Posmatranja navode na zaključak da je 73 % ukupne gustine energije današnjeg univerzuma u ovom obliku.	obliku	115.0	16.0	False	False
Samo dva meseca nakon diplomiranja objavio je svoj prvi rad o opštoj teoriji relativnosti Alberta Ajnštajna.	prvi	116.0	9.0	False	False
Kao mnoga druga zdravstvena stanja, i gojaznost može biti prouzrokovana uzajamnim dejstvom genetskih i faktora životne sredine.	genetskih	117.0	14.0	False	False
Ne postoji specifičan tretman za tu bolest.	bolest	118.0	7.0	True	False
Grabovski je bio zadužen za prve kurseve esperanta za nekoliko škola u Varšavi.	prve	119.0	6.0	False	False
Grabovski je bio zadužen za prve kurseve esperanta za nekoliko škola u Varšavi.	škola	119.0	11.0	False	False
Film sadrži odlomke iz govora različitih nacističkih vođa na Kongresu, uključujući Adolfa Hitlera.	Film	120.0	1.0	False	False
Film sadrži odlomke iz govora različitih nacističkih vođa na Kongresu, uključujući Adolfa Hitlera.	govora	120.0	5.0	False	False
Film sadrži odlomke iz govora različitih nacističkih vođa na Kongresu, uključujući Adolfa Hitlera.	različitih	120.0	6.0	False	False
Paladijanska arhitektura je evropski arhitektonski stil koji potiče od venecijanskog arhitekte Andree Paladija (1508–1580) i inspirisan je njegovim nacrtima.	arhitektura	121.0	2.0	False	False
Paladijanska arhitektura je evropski arhitektonski stil koji potiče od venecijanskog arhitekte Andree Paladija (1508–1580) i inspirisan je njegovim nacrtima.	potiče	121.0	8.0	False	False
Visoki komesarijat Organizacije ujedinjenih nacija za izbeglice (UNHCR) dobio je Nobelovu nagradu za mir 1954. i 1981. godine.	Organizacije	123.0	3.0	False	False
Visoki komesarijat Organizacije ujedinjenih nacija za izbeglice (UNHCR) dobio je Nobelovu nagradu za mir 1954. i 1981. godine.	godine	123.0	20.0	False	False
Anafilaksa je teška alergijska reakcija koja naglo počinje i pogađa mnoge telesne sisteme.	teška	124.0	3.0	False	False
Anafilaksa je teška alergijska reakcija koja naglo počinje i pogađa mnoge telesne sisteme.	počinje	124.0	8.0	False	False
