#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Zatim se imenuje izvestilac koji će sastaviti mišljenje Komiteta.
#Text=EuroBillTracker (EBT) jeste veb stranica dizajnirana za praćenje novčanica evra.
2-1	65-80	EuroBillTracker	F	X	http://www.wikidata.org/entity/Q1374534	PRODUCT	EuroBillTracker	_	_	_	_	_	_	_	_	_	
2-2	81-82	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	_	_	
2-3	82-85	EBT	ABB	X	http://www.wikidata.org/entity/Q1374534	PRODUCT	EBT	_	_	_	_	_	_	_	_	_	
2-4	85-86	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	_	_	
2-5	87-92	jeste	V	VERB	_	_	jesam	_	_	_	*	simple_wsd - DRJ0-193392/0:0.5381::postojati, egzistirati; pokazivati se, javljati se kao stvarno, realno; supl. prez. glagola biti.	http://llod.jerteh.rs/WSD/seDRJ0193392_0	1	simple_wsd	DRJ0-193392/0	
2-6	93-96	veb	N	NOUN	_	_	veb	1[182]	veb stranica[182]	NID[182]	*[401]	simple_wsd - CVMWE-0485:0.4762::dokument na Vebu kome se pristupa u veb pretraživaču[2000]	http://llod.jerteh.rs/WSD/seCVMWE0485[2000]	1[2000]	simple_wsd	CVMWE-0485[2000]	
2-7	97-105	stranica	N	NOUN	_	_	stranica	1[182]	veb stranica[182]	NID[182]	*[401]	simple_wsd - CVMWE-0485:0.4762::dokument na Vebu kome se pristupa u veb pretraživaču[2000]	http://llod.jerteh.rs/WSD/seCVMWE0485[2000]	1[2000]	simple_wsd	CVMWE-0485[2000]	
2-8	106-117	dizajnirana	A	ADJ	_	_	dizajniran	_	_	_	*	simple_wsd - ENG30-01737025-a:0.4429::koji je planiran ili stvoren na umetnički ili vešt način	http://llod.jerteh.rs/WSD/seENG3001737025a	1	simple_wsd	ENG30-01737025-a	
2-9	118-120	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	_	_	
2-10	121-129	praćenje	N	NOUN	_	_	praćenje	_	_	_	*	simple_wsd - RSSJ-39504/0:0.4601::radnja ili postupak kontinuiranog posmatranja ili nadgledanja nečega ili nekoga.	http://llod.jerteh.rs/WSD/seRSSJ39504_0	1	simple_wsd	RSSJ-39504/0	
2-11	130-139	novčanica	N	NOUN	_	_	novčanica	_	_	_	*	simple_wsd - ENG30-13384877-n:0.6126::Zvanična valuta koju izdaje vlada ili nacionalna banka. - ENG30-13393762-n:0.5843::novčanica (posebno ona izdata od strane centralne banke) - ENG30-13387209-n:0.5353::valuta koju izdaje vlada ili centralna banka i koja se sastoji od štampanog papira koji može da cirkuliše kao zamena za…	http://llod.jerteh.rs/WSD/seENG3013384877n	3	simple_wsd	ENG30-13384877-n;ENG30-13387209-n;ENG30-13393762-n	
2-12	140-144	evra	N	NOUN	_	_	evro	_	_	_	*	simple_wsd - ENG30-13661820-n:0.5088::osnovna novčana jedinica velikog broja članica Evropske unije, ušla u upotrebu 1999	http://llod.jerteh.rs/WSD/seENG3013661820n	1	simple_wsd	ENG30-13661820-n	
2-13	144-145	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Njegov rad se često povezuje s postmodernizmom, posebno s poststrukturalizmom.
3-1	145-151	Njegov	PRO	DET	_	_	njegov	_	_	_	_	_	_	_	_	_	
3-2	152-155	rad	N	NOUN	_	_	rad	_	_	_	*	simple_wsd - ENG30-05755883-n:0.4962::primena uma za učenje i razumevanje neke teme (posebno čitanjem) - ENG30-04599396-n:0.4956::Proizvod napravljen ili postignut naporom ili aktivnošću neke osobe ili stvari. - ENG30-00575741-n:0.4690::Aktivanost koja je usmerena ka tome da se nešto uradi.	http://llod.jerteh.rs/WSD/seENG3005755883n	5	simple_wsd	ENG30-00575741-n;ENG30-03838535-n;ENG30-04599396-n;ENG30-05755883-n;ENG30-06269956-n	
3-3	156-158	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	_	_	
3-4	159-164	često	ADV	ADV	_	_	često	_	_	_	*	simple_wsd - ENG30-00059413-b:0.5319::često ili u velikim količinama - CV0049:0.4487::mnogo puta, u mnogo prilika	http://llod.jerteh.rs/WSD/seENG3000059413b	2	simple_wsd	CV0049;ENG30-00059413-b	
3-5	165-173	povezuje	V	VERB	_	_	povezivati	_	_	_	*	simple_wsd - ENG30-00713818-v:0.5844::staviti u međusobni odnos - ENG30-02622234-v:0.5692::biti ili postati spojen ili ujedinjen ili povezan	http://llod.jerteh.rs/WSD/seENG3000713818v	2	simple_wsd	ENG30-00713818-v;ENG30-02622234-v	
3-6	174-175	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	_	
3-7	176-191	postmodernizmom	N	NOUN	_	_	postmodernizam	_	_	_	*	simple_wsd - ENG30-03990025-n:0.6332::žanr umetnosti i književnosti, a posebno arhitekture, kao reakcija na principe i prakse uspostavljenog modernizma	http://llod.jerteh.rs/WSD/seENG3003990025n	1	simple_wsd	ENG30-03990025-n	
3-8	191-192	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
3-9	193-200	posebno	ADV	ADV	_	_	posebno	_	_	_	*	simple_wsd - ENG30-00084223-b:0.4731::u znatno većoj meri ili stepenu nego što je uobičajeno - ENG30-00248765-b:0.3954::specifično ili posebno razlikovano od drugih - ENG30-00041758-b:0.3524::za razliku od drugih	http://llod.jerteh.rs/WSD/seENG3000084223b	4	simple_wsd	ENG30-00041758-b;ENG30-00084223-b;ENG30-00207668-b;ENG30-00248765-b	
3-10	201-202	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	_	
3-11	203-222	poststrukturalizmom	N	NOUN	_	_	poststrukturalizam	_	_	_	*	simple_wsd - CVDf-232/0:0.5184::pokret u književnoj kritici i filozofski pravac	http://llod.jerteh.rs/WSD/seCVDf232_0	1	simple_wsd	CVDf-232/0	
3-12	222-223	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Čak je bio opremljen i radarom.
4-1	223-226	Čak	PAR	PART	_	_	čak	_	_	_	_	_	_	_	_	_	
4-2	227-229	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
4-3	230-233	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	_	
4-4	234-243	opremljen	V	VERB	_	_	opremiti	_	_	_	*	simple_wsd - ENG30-02339413-v:0.4999::Opskrbiti nekoga opremom za posebnu namenu.	http://llod.jerteh.rs/WSD/seENG3002339413v	1	simple_wsd	ENG30-02339413-v	
4-5	244-245	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
4-6	246-253	radarom	N	NOUN	_	_	radar	_	_	_	*	simple_wsd - ENG30-04039848-n:0.4480::merilački instrument u kojem se eho impulsa mikrotalasne radijacije koristi za otkrivanje i lociranje udaljenih objekata	http://llod.jerteh.rs/WSD/seENG3004039848n	1	simple_wsd	ENG30-04039848-n	
4-7	253-254	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=I posedovao je mnogo nekretnina.
5-1	254-255	I	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
5-2	256-265	posedovao	V	VERB	_	_	posedovati	_	_	_	*	simple_wsd - ENG30-02630189-v:0.5423::Imati kao svojstvo. - ENG30-02204692-v:0.4455::Biti vlasnik nečega.	http://llod.jerteh.rs/WSD/seENG3002630189v	2	simple_wsd	ENG30-02204692-v;ENG30-02630189-v	
5-3	266-268	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
5-4	269-274	mnogo	ADV	ADV	_	_	mnogo	_	_	_	*	simple_wsd - ENG30-00145713-b:0.6328::koliko je potrebno - ENG30-00059413-b:0.4598::često ili u velikim količinama - ENG30-00059086-b:0.4349::u velikoj meri ili stepenu	http://llod.jerteh.rs/WSD/seENG3000145713b	4	simple_wsd	ENG30-00032803-b;ENG30-00059086-b;ENG30-00059413-b;ENG30-00145713-b	
5-5	275-285	nekretnina	N	NOUN	_	_	nekretnina	_	_	_	*	simple_wsd - ENG30-13246475-n:0.5407::Imovina koja se sastoji od kuća i zemlje.	http://llod.jerteh.rs/WSD/seENG3013246475n	1	simple_wsd	ENG30-13246475-n	
5-6	285-286	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Kapital mora da raste, inače čitav proces propada.
6-1	286-293	Kapital	N	NOUN	_	_	kapital	_	_	_	*	simple_wsd - ENG30-13354420-n:0.5658::imovina na raspolaganju u proizvodnji nove imovine - ENG30-13353607-n:0.4868::Materijalno bogatstvo u formi novca ili vlasništva koje poseduje osoba ili firma, kao i ljudski resursi koji imaju ekon… - ENG30-07282929-n:0.3780::Knjiga koju je napisao Karl Marx (1867) koja objašnjava neke ekonomske teorije.	http://llod.jerteh.rs/WSD/seENG3013354420n	3	simple_wsd	ENG30-07282929-n;ENG30-13353607-n;ENG30-13354420-n	
6-2	294-298	mora	V	VERB	_	_	morati	_	_	_	*	simple_wsd - DRJ0-203172/3:0.5748::osećati potrebu, pobudu, impuls da se nešto (u)čini, (u)radi. - DRJ0-203172/1:0.4909::činiti nešto iz nužde, biti prinuđen, prisiljen, primoran, obavezan (u)činiti nešto: - DRJ0-203172/4a.:0.4704::za isticanje verovatnoće, izvesnosti onoga što se kazuje dopunskim glagolom, dopunskom rečenicom.	http://llod.jerteh.rs/WSD/seDRJ0203172_3	5	simple_wsd	DRJ0-203172/1;DRJ0-203172/2;DRJ0-203172/3;DRJ0-203172/4a.;DRJ0-203172/4b.	
6-3	299-301	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	_	
6-4	302-307	raste	V	VERB	_	_	rasti	_	_	_	*	simple_wsd - ENG30-02624263-v:0.6237::nastati; kakvu formu ili oblik preuzeti - ENG30-02627753-v:0.5722::Imati korene u nečemu. - ENG30-00231557-v:0.5530::Povećavati veličinu prirodnim procesom; o žvoj tvari, kao što su biljke i životinje.	http://llod.jerteh.rs/WSD/seENG3002624263v	6	simple_wsd	ENG30-00094460-v;ENG30-00125841-v;ENG30-00155143-v;ENG30-00231557-v;ENG30-02624263-v;ENG30-02627753-v	
6-5	307-308	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
6-6	309-314	inače	PAR	PART	_	_	inače	_	_	_	_	_	_	_	_	_	
6-7	315-320	čitav	A	ADJ	_	_	čitav	_	_	_	*	simple_wsd - DRJ0-190679/5:0.5172::često za pojačavanje značenja imenice uz koju stoji kao atribut: - DRJ0-190679/2a.:0.4890::uz imenice koje znače prostor ili onome što se prostire, pruža ili nalazi u prostoru: - DRJ0-190679/2b.:0.4706::uz imenice koje znače vreme:	http://llod.jerteh.rs/WSD/seDRJ0190679_5	10	simple_wsd	DRJ0-190679/1;DRJ0-190679/2;DRJ0-190679/2a.;DRJ0-190679/2b.;DRJ0-190679/2v.;DRJ0-190679/3;DRJ0-190679/4;DRJ0-190679/5;DRJ0-190679/6;DRJ0-190679/7	
6-8	321-327	proces	N	NOUN	_	_	proces	_	_	_	*	simple_wsd - ENG30-01195867-n:0.5572::utvrđivanje nevinosti ili krivice lica po zakonskom postupku (pravilo) - ENG30-01182654-n:0.4404::širok pojam za svaki postupak pred sudom u kojem pojedinac traži pravni lek - ENG30-01023820-n:0.4363::Određen tok akcije čiji je cilj da se postigne neki rezultat.	http://llod.jerteh.rs/WSD/seENG3001195867n	4	simple_wsd	ENG30-00029677-n;ENG30-01023820-n;ENG30-01182654-n;ENG30-01195867-n	
6-9	328-335	propada	V	VERB	_	_	propadati	_	_	_	*	simple_wsd - ENG30-00552815-v:0.6481::propadati ili se raspadati	http://llod.jerteh.rs/WSD/seENG3000552815v	1	simple_wsd	ENG30-00552815-v	
6-10	335-336	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Najčešće se javlja u jesen.
7-1	336-344	Najčešće	ADV	ADV	_	_	najčešće	_	_	_	*	simple_wsd - RSSJ-27975/0:0.5928::u najvećoj meri često, vrlo često; najveći broj puta.	http://llod.jerteh.rs/WSD/seRSSJ27975_0	1	simple_wsd	RSSJ-27975/0	
7-2	345-347	se	PAR	PART	_	_	se	1	*	IRV	*[402]	simple_wsd - CVMWE-0161:0.4389::pojaviti se, nastati (i o bolesti)[2001]	http://llod.jerteh.rs/WSD/seCVMWE0161[2001]	1[2001]	simple_wsd	CVMWE-0161[2001]	
7-3	348-354	javlja	V	VERB	_	_	javljati	1	javljati se	IRV	*[402]	simple_wsd - CVMWE-0161:0.4389::pojaviti se, nastati (i o bolesti)[2001]	http://llod.jerteh.rs/WSD/seCVMWE0161[2001]	1[2001]	simple_wsd	CVMWE-0161[2001]	
7-4	355-356	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
7-5	357-362	jesen	N	NOUN	_	_	jesen	_	_	_	*	simple_wsd - ENG30-15236859-n:0.3913::Godišnje doba kada lišće opada sa drveća.	http://llod.jerteh.rs/WSD/seENG3015236859n	1	simple_wsd	ENG30-15236859-n	
7-6	362-363	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Putna mreža u Irskoj usmerena je prvenstveno na Dablin.
8-1	363-368	Putna	A	ADJ	_	_	putni	1[183]	putna mreža[183]	NID[183]	*[403]	simple_wsd - LLM-0213:0.5862::Skup saobraćajnica (puteva) na određenoj teritoriji.[2002]	http://llod.jerteh.rs/WSD/seLLM0213[2002]	1[2002]	simple_wsd	LLM-0213[2002]	
8-2	369-374	mreža	N	NOUN	_	_	mreža	1[183]	putna mreža[183]	NID[183]	*[403]	simple_wsd - LLM-0213:0.5862::Skup saobraćajnica (puteva) na određenoj teritoriji.[2002]	http://llod.jerteh.rs/WSD/seLLM0213[2002]	1[2002]	simple_wsd	LLM-0213[2002]	
8-3	375-376	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
8-4	377-383	Irskoj	N	PROPN	http://www.wikidata.org/entity/Q27	LOC	Irska	_	_	_	_	_	_	_	_	_	
8-5	384-392	usmerena	V	VERB	_	_	usmeriti	_	_	_	*	simple_wsd - ENG30-00749376-v:0.5839::dati uputstva za; uputiti nekoga u određenom pravcu - ENG30-01931768-v:0.5262::Usmeriti pravac; odrediti pravac putovanja. - ENG30-01150559-v:0.4989::Želeti da nešto ide ka određenom cilju.	http://llod.jerteh.rs/WSD/seENG3000749376v	6	simple_wsd	ENG30-00713015-v;ENG30-00749376-v;ENG30-01150559-v;ENG30-01931768-v;ENG30-01951480-v;ENG30-02387034-v	
8-6	393-395	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
8-7	396-407	prvenstveno	ADV	ADV	_	_	prvenstveno	_	_	_	*	simple_wsd - ENG30-00073897-b:0.3754::najvećim delom	http://llod.jerteh.rs/WSD/seENG3000073897b	1	simple_wsd	ENG30-00073897-b	
8-8	408-410	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	_	
8-9	411-417	Dablin	N	PROPN	http://www.wikidata.org/entity/Q1761	LOC	Dablin	_	_	_	_	_	_	_	_	_	
8-10	417-418	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Sve kandidate mora odobriti Savet čuvara.
9-1	418-421	Sve	PRO	DET	_	_	sav	_	_	_	_	_	_	_	_	_	
9-2	422-431	kandidate	N	NOUN	_	_	kandidat	_	_	_	*	simple_wsd - ENG30-09889691-n:0.3672::političar koji vodi kampanju da bude izabran na javnu funkciju	http://llod.jerteh.rs/WSD/seENG3009889691n	1	simple_wsd	ENG30-09889691-n	
9-3	432-436	mora	V	VERB	_	_	morati	_	_	_	*	simple_wsd - DRJ0-203172/3:0.4561::osećati potrebu, pobudu, impuls da se nešto (u)čini, (u)radi. - DRJ0-203172/4b.:0.4038::za isticanje, pojačavanje značenja dopunske rečenice. - DRJ0-203172/1:0.3988::činiti nešto iz nužde, biti prinuđen, prisiljen, primoran, obavezan (u)činiti nešto:	http://llod.jerteh.rs/WSD/seDRJ0203172_3	5	simple_wsd	DRJ0-203172/1;DRJ0-203172/2;DRJ0-203172/3;DRJ0-203172/4a.;DRJ0-203172/4b.	
9-4	437-445	odobriti	V	VERB	_	_	odobriti	_	_	_	*	simple_wsd - ENG30-02447793-v:0.4140::garantovati kako nešto ispunjava određeni standard - ENG30-00673983-v:0.3915::Proceniti da je nešto dobro; misliti pozitivno o nečemu. - ENG30-02255462-v:0.3915::Dopustiti.	http://llod.jerteh.rs/WSD/seENG3002447793v	5	simple_wsd	ENG30-00673983-v;ENG30-00802946-v;ENG30-00806049-v;ENG30-02255462-v;ENG30-02447793-v	
9-5	446-451	Savet	N	NOUN	http://www.wikidata.org/entity/Q828689[1]	ORG[1]	savet	_	_	_	*	simple_wsd - ENG30-06650701-n:0.5255::Uputstvo ili savet po pitanju odluke ili toka radnje - ENG30-08310949-n:0.5188::Telo koje služi u administrativnom svojstvu. - ENG30-06671484-n:0.4766::predlog za odgovarajući pravac delovanja	http://llod.jerteh.rs/WSD/seENG3006650701n	4	simple_wsd	ENG30-06650701-n;ENG30-06671484-n;ENG30-08309409-n;ENG30-08310949-n	
9-6	452-458	čuvara	N	NOUN	http://www.wikidata.org/entity/Q828689[1]	ORG[1]	čuvar	_	_	_	*	simple_wsd - ENG30-09614684-n:0.5375::Osoba koja se brina o ljudima i njihovoj svojini. - ENG30-10770059-n:0.3853::Pazitelj koji je zadužen da budno motri. - ENG30-09984298-n:0.3813::onaj koji je zadužen za nadgledanje I čuvanje zgrada, poseda ili životinja	http://llod.jerteh.rs/WSD/seENG3009614684n	3	simple_wsd	ENG30-09614684-n;ENG30-09984298-n;ENG30-10770059-n	
9-7	458-459	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Valentinijan je pronađen obešen u svojoj palati u Vjenu.
10-1	459-471	Valentinijan	N	PROPN	http://www.wikidata.org/entity/Q46846	PERS	Valentinijan	_	_	_	_	_	_	_	_	_	
10-2	472-474	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
10-3	475-483	pronađen	V	VERB	_	_	pronaći	_	_	_	*	simple_wsd - ENG30-02197781-v:0.6534::smatrati da ste u određenom stanju ili na određenom mestu - ENG30-02286204-v:0.5755::čega lokaciju otkriti; čega mesto odrediti; pretraživanjem ili ispitivanjem otkriti - ENG30-01637982-v:0.5595::Učiniti neko otkriće, učiniti novi pronalazak.	http://llod.jerteh.rs/WSD/seENG3002197781v	5	simple_wsd	ENG30-00618878-v;ENG30-00721437-v;ENG30-01637982-v;ENG30-02197781-v;ENG30-02286204-v	
10-4	484-490	obešen	A	ADJ	_	_	obešen	_	_	_	*	simple_wsd - RSSJ-31429/0:0.5771::koji je lišen života vešanjem; koji visi.	http://llod.jerteh.rs/WSD/seRSSJ31429_0	1	simple_wsd	RSSJ-31429/0	
10-5	491-492	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
10-6	493-499	svojoj	PRO	DET	_	_	svoj	_	_	_	_	_	_	_	_	_	
10-7	500-506	palati	N	NOUN	_	_	palata	_	_	_	*	simple_wsd - ENG30-02980441-n:0.5441::velika zgrada nekada naseljena od strane vladara i utvrđena protiv napada - ENG30-03878066-n:0.4315::velika i svečana vila - ENG30-03719053-n:0.4294::Velika i impozantna kuća.	http://llod.jerteh.rs/WSD/seENG3002980441n	3	simple_wsd	ENG30-02980441-n;ENG30-03719053-n;ENG30-03878066-n	
10-8	507-508	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
10-9	509-514	Vjenu	N	PROPN	http://www.wikidata.org/entity/Q26849	LOC	Vjen	_	_	_	_	_	_	_	_	_	
10-10	514-515	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Devedesetih godina XX veka počela je da piše za decu.
11-1	515-526	Devedesetih	A	ADJ	_	_	devedeseti	_	_	_	*	simple_wsd - DRJ0-235368/0:0.4375::redni broj prema osnovnom broju devedeset.	http://llod.jerteh.rs/WSD/seDRJ0235368_0	1	simple_wsd	DRJ0-235368/0	
11-2	527-533	godina	N	NOUN	_	_	godina	_	_	_	*	simple_wsd - ENG30-15204297-n:0.5751::Vremenski period koji zauzima stalni deo kalendarske godine i koristi se za neku određenu aktivnost. - ENG30-15202634-n:0.5664::Godina računata od 1. januara do 31. decembra po Gregorijanskom kalendaru. - ENG30-08238660-n:0.5279::Zajednica studenata ili đaka koji zajedno diplomiraju.	http://llod.jerteh.rs/WSD/seENG3015204297n	5	simple_wsd	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	
11-3	534-536	XX	RN	NUM	_	_	XX	_	_	_	_	_	_	_	_	_	
11-4	537-541	veka	N	NOUN	_	_	vek	_	_	_	*	simple_wsd - ENG30-15140744-n:0.4942::Period između rođenja i sadašnjosti. - ENG30-15205532-n:0.4497::Sto godina. - ENG30-15140892-n:0.3231::Period od sadašnjosti do smrti.	http://llod.jerteh.rs/WSD/seENG3015140744n	3	simple_wsd	ENG30-15140744-n;ENG30-15140892-n;ENG30-15205532-n	
11-5	542-548	počela	V	VERB	_	_	početi	_	_	_	*	simple_wsd - ENG30-02609203-v:0.5626::imati početak (o vremenskom događaju) - ENG30-02379528-v:0.5464::započeti rad ili delovanje u određenom kapacitetu, na određenoj dužnosti ili na određenom poslu - ENG30-02608823-v:0.5243::imati početak koji se karakteriše na određeni način	http://llod.jerteh.rs/WSD/seENG3002609203v	8	simple_wsd	ENG30-00345761-v;ENG30-01070777-v;ENG30-02379528-v;ENG30-02600948-v;ENG30-02608347-v;ENG30-02608823-v;ENG30-02609203-v;ENG30-02679227-v	
11-6	549-551	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
11-7	552-554	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	_	
11-8	555-559	piše	V	VERB	_	_	pisati	_	_	_	*	simple_wsd - ENG30-01031256-v:0.4686::uputiti nešto nekome (pismo, poruku) - ENG30-01691057-v:0.4660::Ostavljati ili crtati po površini. - ENG30-00993014-v:0.4289::Preneti ili izraziti u pisanom obliku.	http://llod.jerteh.rs/WSD/seENG3001031256v	8	simple_wsd	ENG30-00993014-v;ENG30-01007027-v;ENG30-01031256-v;ENG30-01031966-v;ENG30-01691057-v;ENG30-01692834-v;ENG30-01698271-v;ENG30-01705494-v	
11-9	560-562	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	_	_	
11-10	563-567	decu	N	NOUN	_	_	deca	_	_	_	*	simple_wsd - ENG30-09917593-n:0.5387::Mlada osoba bilo kog pola (između rođenja i puberteta). - DRS0-457358/0.0:0.5160::ljudi u ranom uzrastu života; sinovi i kćeri u odnosu na roditelje; mlade osobe koje još nisu odrasle. - DRS0-457359/0.0:0.3459::zb. im. od dete.	http://llod.jerteh.rs/WSD/seENG3009917593n	3	simple_wsd	DRS0-457358/0.0;DRS0-457359/0.0;ENG30-09917593-n	
11-11	567-568	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=To će verovatno biti prva parazitska bolest koja će biti iskorenjena na globalnom nivou.
12-1	568-570	To	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	_	
12-2	571-573	će	V	AUX	_	_	hteti	_	_	_	_	_	_	_	_	_	
