#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|KBid


#Text=Uglavnom predlažemo prekid njihove dalje proizvodnje i početak uklanjanja svih zaliha na Zemlji.
56-3	399-406	procesa	N	NOUN	_	_	proces	_	_	_	http://example.org/lexicon/seENG3000029677n	
56-4	407-413	zavise	V	VERB	_	_	zavisiti	_	_	_	http://example.org/lexicon/seENG3002663848v	
56-5	414-416	od	PREP	ADP	_	_	od	_	_	_	_	
56-6	417-425	količine	N	NOUN	_	_	količina	_	_	_	http://example.org/lexicon/seENG3005107765n	
56-7	426-427	i	CONJ	CCONJ	_	_	i	_	_	_	_	
56-8	428-433	vrste	N	NOUN	_	_	vrsta	_	_	_	http://example.org/lexicon/seENG3005839024n	
56-9	434-442	materije	N	NOUN	_	_	materija	_	_	_	http://example.org/lexicon/seENG3000019613n	
56-10	443-444	u	PREP	ADP	_	_	u	_	_	_	_	
56-11	445-455	univerzumu	N	NOUN	_	_	univerzum	_	_	_	http://example.org/lexicon/seDRJ0184679\_0	
56-12	455-456	.	SENT	PUNCT	_	_	.	_	_	_	_	
