#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.
1-11	47-51	nije	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-12	52-56	umro	V	VERB	_	_	umreti	_	_	_	ENG30-00358431-v	3	ENG30-00358431-v;ENG30-00427683-v;ENG30-02109818-v	*	U datom kontekstu, reč 'umro' se odnosi na prestanak fizičkog života usled srčanog udara, što tačno odgovara ovom značenju.	
1-13	57-59	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
1-14	60-67	srčanog	A	ADJ	_	_	srčani	2[206]	srčani udar[206]	NID[206]	LLM-0247[2001]	1[2001]	LLM-0247[2001]	*[445]	Reč 'srčani udar' u ovom kontekstu označava medicinsko stanje nastalo prekidom dotoka krvi u deo srčanog mišića, što odgovara ponuđenom značenju.[2001]	
1-15	68-73	udara	N	NOUN	_	_	udar	2[206]	srčani udar[206]	NID[206]	LLM-0247[2001]	1[2001]	LLM-0247[2001]	*[445]	Reč 'srčani udar' u ovom kontekstu označava medicinsko stanje nastalo prekidom dotoka krvi u deo srčanog mišića, što odgovara ponuđenom značenju.[2001]	
1-16	74-79	1921.	A	ADJ	_	_	1921.	_	_	_	_	_	_	_	_	
1-17	80-86	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	U ovom kontekstu, '1921. godine' se odnosi na kalendarsku godinu po Gregorijanskom kalendaru, što odgovara ovom značenju.	
1-18	86-87	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Crvena armija je upala na teritoriju Poljske sa istoka.
2-1	88-94	Crvena	A	ADJ	http://www.wikidata.org/entity/Q251395[1]	ORG[1]	crven	_	_	_	ENG30-00381097-a	1	ENG30-00381097-a	*	Ovde se 'crvena' koristi kao deo imena 'Crvena armija', koje potiče od naziva vojske povezane sa komunizmom, a sama reč direktno aludira na boju crvenu iz razloga političke simbolike, što se podudara sa ponuđenim značenjem.	
2-2	95-101	armija	N	NOUN	http://www.wikidata.org/entity/Q251395[1]	ORG[1]	armija	_	_	_	ENG30-08191230-n	3	ENG30-08183290-n;ENG30-08191230-n;ENG30-08397255-n	*	U ovom kontekstu, 'armija' se odnosi na organizaciju vojnih kopnenih snaga, konkretno sovjetske vojske koja je izvršila invaziju na Poljsku.	
2-3	102-104	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-4	105-110	upala	V	VERB	_	_	upasti	_	_	_	DRJ0-184859/2a.	8	DRJ0-184859/1;DRJ0-184859/2a.;DRJ0-184859/2b.;DRJ0-184859/3a.;DRJ0-184859/3b.;DRJ0-184859/3v.;DRJ0-184859/4;DRJ0-184859/5	*	U ovom kontekstu, 'upala' označava silovit i iznenadan ulazak Crvene armije na teritoriju Poljske, što se precizno poklapa sa značenjem 'silom ući, prodreti; iznenada doći, banuti'.	
2-5	111-113	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
2-6	114-124	teritoriju	N	NOUN	_	_	teritorija	_	_	_	ENG30-08493064-n	2	CV0216;ENG30-08493064-n	*	U ovom kontekstu, 'teritorija' se odnosi na geografsko područje pod jurisdikcijom suverene države, jer se opisuje vojni upad na deo Poljske.	
2-7	125-132	Poljske	N	PROPN	http://www.wikidata.org/entity/Q36	LOC	Poljska	_	_	_	_	_	_	_	_	
2-8	133-135	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	_	_	
2-9	136-142	istoka	N	NOUN	_	_	istok	_	_	_	ENG30-13832355-n	1	ENG30-13832355-n	*	U ovom kontekstu, 'istok' se odnosi na glavnu stranu sveta, tj. pravac odakle je Crvena armija upala na teritoriju Poljske, što precizno odgovara datom značenju.	
2-10	142-143	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Bol može biti jači tokom noći i može se pojačati tokom vremena dok ne postane nepodnošljiv i neprekidan.
3-1	144-147	Bol	N	NOUN	_	_	bol	_	_	_	ENG30-14322699-n	2	ENG30-07535010-n;ENG30-14322699-n	*	U ovom kontekstu 'bol' označava fizički simptom koji postaje jači i neprekidan, što ukazuje na značenje fizičke povrede ili poremećaja.	
3-2	148-152	može	V	VERB	_	_	moći	_	_	_	CV0044	6	CV0044;CV0071;CV0124;CV0171;DRJ0-203294/2b.;ENG30-02523221-v	*	U ovom kontekstu, 'može' označava sposobnost boli da se pojača ili da bude jača u određenim okolnostima, što odgovara značenju 'biti u stanju, biti kadar, sposoban učiniti, uraditi nešto'.	
3-3	153-157	biti	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
3-4	158-162	jači	A	ADJ	_	_	jak	_	_	_	ENG30-01512275-a	9	ENG30-00803275-a;ENG30-00835158-a;ENG30-01068609-a;ENG30-01158974-a;ENG30-01509527-a;ENG30-01512275-a;ENG30-01824244-a;ENG30-01961786-a;ENG30-02321009-a	*	U ovom kontekstu 'jači' opisuje bol koji ima visok stepen intenziteta, što je upravo značenje ovog ID-ja.	
3-5	163-168	tokom	PREP	ADP	_	_	tokom	_	_	_	_	_	_	_	_	
3-6	169-173	noći	N	NOUN	_	_	noć	_	_	_	ENG30-15167027-n	3	ENG30-15155747-n;ENG30-15167027-n;ENG30-15167474-n	*	U kontekstu rečenice, 'noć' se odnosi na deo dana kada je napolju mrak, odnosno vreme nakon zalaska sunca, što najviše odgovara ovom značenju.	
3-7	174-175	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
3-8	176-180	može	V	VERB	_	_	moći	_	_	_	CV0044	6	CV0044;CV0071;CV0124;CV0171;DRJ0-203294/2b.;ENG30-02523221-v	*	U ovom kontekstu, 'može' označava da bol ima sposobnost ili mogućnost da se pojača tokom vremena, što odgovara značenju 'biti u stanju, biti kadar, sposoban učiniti, uraditi nešto'.	
3-9	181-183	se	PAR	PART	_	_	se	1	*	IRV	ENG30-00226566-v[2002]	2[2002]	CVMWE-0298;ENG30-00226566-v[2002]	*[446]	U ovom kontekstu, 'pojačati se' znači da bol dobija na intenzitetu, što najpreciznije odgovara značenju ENG30-00226566-v.[2002]	
3-10	184-192	pojačati	V	VERB	_	_	pojačati	1	pojačati se	IRV	ENG30-00226566-v[2002]	2[2002]	CVMWE-0298;ENG30-00226566-v[2002]	*[446]	U ovom kontekstu, 'pojačati se' znači da bol dobija na intenzitetu, što najpreciznije odgovara značenju ENG30-00226566-v.[2002]	
3-11	193-198	tokom	PREP	ADP	_	_	tokom	2[207]	tokom vremena[207]	AdvID[207]	CVMWE-0453[2003]	1[2003]	CVMWE-0453[2003]	*[447]	U ovom kontekstu, 'tokom vremena' znači da se bol pojačava postepeno, kako vreme prolazi, što odgovara značenju navedenom u listi.[2003]	
3-12	199-206	vremena	N	NOUN	_	_	vreme	2[207]	tokom vremena[207]	AdvID[207]	CVMWE-0453[2003]	1[2003]	CVMWE-0453[2003]	*[447]	U ovom kontekstu, 'tokom vremena' znači da se bol pojačava postepeno, kako vreme prolazi, što odgovara značenju navedenom u listi.[2003]	
3-13	207-210	dok	CONJ	SCONJ	_	_	dok	_	_	_	_	_	_	_	_	
3-14	211-213	ne	PAR	PART	_	_	ne	_	_	_	_	_	_	_	_	
3-15	214-221	postane	V	VERB	_	_	postati	_	_	_	ENG30-00149583-v	5	ENG30-00094460-v;ENG30-00149583-v;ENG30-02381571-v;ENG30-02623529-v;ENG30-02626604-v	*	U ovom kontekstu, 'postati' znači da bol dolazi u određeno stanje (nepodnošljiv i neprekidan), što se poklapa sa ovim značenjem.	
3-16	222-234	nepodnošljiv	A	ADJ	_	_	nepodnošljiv	_	_	_	ENG30-02347979-a	2	ENG30-02347979-a;ENG30-02436025-a	*	U kontekstu se opisuje bol koji vremenom postaje toliko intenzivan da ga osoba više ne može podneti, zbog čega je značenje 'nemoguće podneti' najpreciznije.	
3-17	235-236	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
3-18	237-247	neprekidan	A	ADJ	_	_	neprekidan	_	_	_	ENG30-00594413-a	5	ENG30-00516360-a;ENG30-00594413-a;ENG30-00595299-a;ENG30-00597424-a;ENG30-01755024-a	*	U kontekstu se opisuje bol koji traje bez prekida tokom vremena, što odgovara značenju 'postojan u vremenu ili prostoru bez prekida'.	
3-19	247-248	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Frederik IX je bio kralj Danske od 1947. do 1972. godine.
4-1	249-257	Frederik	N	PROPN	http://www.wikidata.org/entity/Q151312[2]	PERS[2]	Frederik	_	_	_	_	_	_	_	_	
4-2	258-260	IX	RN	NUM	http://www.wikidata.org/entity/Q151312[2]	PERS[2]	IX	_	_	_	_	_	_	_	_	
4-3	261-263	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
4-4	264-267	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
4-5	268-273	kralj	N	NOUN	http://www.wikidata.org/entity/Q12097	ROLE	kralj	_	_	_	ENG30-10231515-n	4	ENG30-03618101-n;ENG30-03618219-n;ENG30-09840217-n;ENG30-10231515-n	*	U ovom kontekstu, 'kralj' se odnosi na muškog suverena, odnosno vladara Danske, što precizno odgovara značenju muški suveren; vladar kraljevstva.	
4-6	274-280	Danske	N	PROPN	http://www.wikidata.org/entity/Q35	LOC	Danska	_	_	_	_	_	_	_	_	
4-7	281-283	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
4-8	284-289	1947.	A	ADJ	_	_	1947.	_	_	_	_	_	_	_	_	
4-9	290-292	do	PREP	ADP	_	_	do	_	_	_	_	_	_	_	_	
4-10	293-298	1972.	A	ADJ	_	_	1972.	_	_	_	_	_	_	_	_	
4-11	299-305	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	U ovom kontekstu, 'godina' se odnosi na kalendarsku godinu prema Gregorijanskom kalendaru, navodeći period vladavine kralja od početka do kraja određene godine.	
4-12	305-306	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Votsonova je za svoj nastup dobila nagradu „Otto“ od nemačkog časopisa „Bravo“.
5-1	307-316	Votsonova	A	ADJ	http://www.wikidata.org/entity/Q39476	PERS	Votsonov	_	_	_	CVDf-394/0	1	CVDf-394/0	*	Ovde se 'Votsonova' odnosi na osobu sa prezimenom Votson, u ovom slučaju glumicu Emu Votson, što odgovara prisvojnom pridevu od Votson.	
5-2	317-319	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
5-3	320-322	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	_	
5-4	323-327	svoj	PRO	DET	_	_	svoj	_	_	_	_	_	_	_	_	
5-5	328-334	nastup	N	NOUN	_	_	nastup	_	_	_	ENG30-06892016-n	3	ENG30-00520672-n;ENG30-06892016-n;ENG30-07018931-n	*	Votsonova je nagrađena za svoj 'nastup', što u ovom kontekstu najpreciznije odgovara značenju 'kratko pozorišno izvođenje koje je deo dužeg programa', s obzirom da se radi o nagradi za pojedinačni nastup u šou programu ili sličnom događaju, a ne o seriji nastupa ili izvođenju cele drame.	
5-6	335-341	dobila	V	VERB	_	_	dobiti	_	_	_	ENG30-02210119-v	19	ENG30-00056930-v;ENG30-00065639-v;ENG30-00087736-v;ENG30-00094460-v;ENG30-00522751-v;ENG30-00524682-v;ENG30-01108148-v;ENG30-02108654-v;ENG30-02109645-v;ENG30-02210119-v;ENG30-02238085-v;ENG30-02247390-v;ENG30-02288295-v;ENG30-02292125-v;ENG30-02293148-v;ENG30-02315525-v;ENG30-02355596-v;ENG30-02359340-v;ENG30-02611373-v	*	U datom kontekstu, Votsonova je 'dobila' nagradu, što znači da je došla u posed nečega (nagrade). Ovo značenje najviše odgovara upotrebi reči u rečenici.	
5-7	342-349	nagradu	N	NOUN	_	_	nagrada	_	_	_	ENG30-06696483-n	5	ENG30-01219551-n;ENG30-06696483-n;ENG30-07166281-n;ENG30-07295629-n;ENG30-13268146-n	*	U ovom kontekstu, 'nagrada' se odnosi na konkretan simbol (npr. trofej, diploma) koji je dodeljen kao izraz pohvale ili priznanja za nastup Votsonove.	
5-8	350-351	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
5-9	351-355	Otto	N	PROPN	http://www.wikidata.org/entity/Q487719	WORK	Otto	_	_	_	_	_	_	_	_	
5-10	355-356	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
5-11	357-359	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
5-12	360-368	nemačkog	A	ADJ	*	DEMO	nemački	_	_	_	ENG30-02957469-a	2	ENG30-02957469-a;ENG30-06950528-n	*	Ovde se 'nemački' odnosi na nešto što potiče iz Nemačke ili pripada Nemačkoj, konkretno na časopis čije je poreklo ili izdavanje vezano za tu državu.	
5-13	369-377	časopisa	N	NOUN	_	_	časopis	_	_	_	ENG30-06593296-n	3	ENG30-03704210-n;ENG30-06593296-n;ENG30-08063303-n	*	U ovom kontekstu, 'časopis' se odnosi na publikaciju koja izlazi periodično i poznata je po sadržaju, a ne na fizički predmet ili firmu koja je izdaje.	
5-14	378-379	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
5-15	379-384	Bravo	N	PROPN	http://www.wikidata.org/entity/Q593268	WORK	Bravo	_	_	_	_	_	_	_	_	
5-16	384-385	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
5-17	385-386	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Godine 1814. Kristijanija je ponovo postala prava prestonica, kada je prestala da postoji unija sa Danskom.
6-1	387-393	Godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	Ovde se 'godine' odnosi na konkretnu kalendarsku godinu 1814. prema Gregorijanskom kalendaru, čime je najpreciznije primenjivo ovo značenje.	
6-2	394-399	1814.	A	ADJ	_	_	1814.	_	_	_	_	_	_	_	_	
6-3	400-412	Kristijanija	N	PROPN	http://www.wikidata.org/entity/Q585	LOC	Kristijanija	_	_	_	_	_	_	_	_	
6-4	413-415	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
6-5	416-422	ponovo	ADV	ADV	_	_	ponovo	_	_	_	ENG30-00040365-b	1	ENG30-00040365-b	*	U ovom kontekstu, 'ponovo' znači da je Kristijanija još jednom, tj. nanovo, postala prestonica, što precizno odgovara značenju 'nanovo'.	
6-6	423-430	postala	V	VERB	_	_	postati	_	_	_	ENG30-00149583-v	5	ENG30-00094460-v;ENG30-00149583-v;ENG30-02381571-v;ENG30-02623529-v;ENG30-02626604-v	*	Ovde 'postati' znači da je Kristijanija došla u stanje ili stekla status prave prestonice, što najpreciznije odgovara ovom značenju.	
6-7	431-436	prava	A	ADJ	_	_	pravi	_	_	_	ENG30-01932973-a	3	ENG30-00631391-a;ENG30-01878466-a;ENG30-01932973-a	*	U ovom kontekstu, reč 'prava' označava da je Kristijanija postala stvarna, odnosno zaista funkcionišuća prestonica, a ne samo formalno ili nominalno, što odgovara značenju 'onaj koji postoji ili se pojavljuje u stvarnosti; ima provereno postojanje; nije iluzoran'.	
6-8	437-447	prestonica	N	NOUN	_	_	prestonica	_	_	_	ENG30-08518505-n	1	ENG30-08518505-n	*	U rečenici 'prestonica' se koristi da označi grad u kojem je sedište vlade nakon razdvajanja od Danske, što odgovara definiciji datog značenja.	
6-9	447-448	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
6-10	449-453	kada	CONJ	SCONJ	_	_	kada	_	_	_	_	_	_	_	_	
6-11	454-456	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
6-12	457-465	prestala	V	VERB	_	_	prestati	_	_	_	ENG30-02680814-v	2	ENG30-02680814-v;ENG30-02683840-v	*	U ovom kontekstu, reč 'prestala' označava da je unija sa Danskom zaustavljena i više nije postojala, što odgovara značenju 'zaustaviti neko stanje ili aktivnost'.	
6-13	466-468	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
6-14	469-476	postoji	V	VERB	_	_	postojati	_	_	_	ENG30-02603699-v	1	ENG30-02603699-v	*	Ovde 'postojati' označava prestanak egzistencije unije sa Danskom, što odgovara značenju 'imati egzistenciju, biti, egzistirati u određenom obliku ili vidu'.	
6-15	477-482	unija	N	NOUN	_	_	unija	_	_	_	ENG30-08304895-n	4	ENG30-00381680-n;ENG30-07998712-n;ENG30-08304895-n;ENG30-13782769-n	*	U datom kontekstu, 'unija' se odnosi na političko ujedinjenje između Norveške i Danske, što odgovara značenju političke jedinice formirane od prethodno nezavisnih entiteta.	
6-16	483-485	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	_	_	
6-17	486-493	Danskom	N	PROPN	http://www.wikidata.org/entity/Q35	LOC	Danska	_	_	_	_	_	_	_	_	
6-18	493-494	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Međunarodna hemijska olimpijada (IChO) je godišnje akademsko takmičenje učenika srednjih škola.
7-1	495-506	Međunarodna	A	ADJ	http://www.wikidata.org/entity/Q861060[3]	EVENT[3]	međunarodan	_	_	_	ENG30-01568375-a	1	ENG30-01568375-a	*	Olimpijada u rečenici uključuje učesnike iz više država, pa se reč koristi u značenju koje označava nešto što se tiče ili pripada bar dvema nacijama.	
7-2	507-515	hemijska	A	ADJ	http://www.wikidata.org/entity/Q861060[3]	EVENT[3]	hemijski	_	_	_	ENG30-02692624-a	2	ENG30-02692624-a;ENG30-02692966-a	*	U ovom kontekstu, 'hemijska olimpijada' označava takmičenje koje se odnosi na nauku hemiju, a ne na materijale ili supstance napravljene hemijskim putem.	
7-3	516-526	olimpijada	N	NOUN	http://www.wikidata.org/entity/Q861060[3]	EVENT[3]	olimpijada	_	_	_	CV0190	2	CV0190;ENG30-07457126-n	*	U ovom kontekstu, 'olimpijada' se odnosi na međunarodno akademsko takmičenje iz hemije za srednjoškolce, što precizno odgovara značenju ID CV0190.	
7-4	527-528	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	_	
7-5	528-532	IChO	ABB	X	http://www.wikidata.org/entity/Q861060	EVENT	IChO	_	_	_	_	_	_	_	_	
7-6	532-533	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	_	
7-7	534-536	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
7-8	537-545	godišnje	A	ADJ	_	_	godišnji	_	_	_	ENG30-01969150-a	2	ENG30-00678024-a;ENG30-01969150-a	*	U kontekstu, 'godišnje' znači da se hemijska olimpijada održava jednom godišnje, dakle dešava se svake godine, što odgovara ovom značenju.	
7-9	546-555	akademsko	A	ADJ	_	_	akademski	_	_	_	ENG30-02599939-a	3	ENG30-02083615-a;ENG30-02083908-a;ENG30-02599939-a	*	U datom kontekstu, 'akademsko' se odnosi na takmičenje koje je povezano sa obrazovnim institucijama i akademskim okruženjem, što odgovara definiciji ovog značenja.	
7-10	556-566	takmičenje	N	NOUN	_	_	takmičenje	_	_	_	ENG30-07456188-n	2	ENG30-01168569-n;ENG30-07456188-n	*	U ovom kontekstu radi se o događaju gde se više učenika nadmeće, a proglašava se pobednik, što odgovara značenju situacije u kojoj se pobednik bira između više takmičara.	
7-11	567-574	učenika	N	NOUN	http://www.wikidata.org/entity/Q48282	ROLE	učenik	_	_	_	ENG30-10559288-n	3	ENG30-10251779-n;ENG30-10559288-n;ENG30-10665698-n	*	U kontekstu rečenice govori se o srednjoškolcima koji pohađaju školu, što najpreciznije odgovara značenju 'Dete koje pohađa školu'.	
7-12	575-583	srednjih	A	ADJ	_	_	srednji	1[208]	srednja škola[208]	NID[208]	ENG30-08284481-n[2004]	2[2004]	ENG30-08284481-n;ENG30-08409617-n[2004]	*[448]	U kontekstu se govori o svim školama tog nivoa, bez naglaska na to da li su javne ili privatne, te je opštije značenje prikladnije.[2004]	
7-13	584-589	škola	N	NOUN	_	_	škola	1[208]	srednja škola[208]	NID[208]	ENG30-08284481-n[2004]	2[2004]	ENG30-08284481-n;ENG30-08409617-n[2004]	*[448]	U kontekstu se govori o svim školama tog nivoa, bez naglaska na to da li su javne ili privatne, te je opštije značenje prikladnije.[2004]	
7-14	589-590	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=„Marcha Real“ je nacionalna himna Španije.
8-1	591-592	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
8-2	592-598	Marcha	F	X	http://www.wikidata.org/entity/Q130940[4]	WORK[4]	Marcha	_	_	_	_	_	_	_	_	
8-3	599-603	Real	F	X	http://www.wikidata.org/entity/Q130940[4]	WORK[4]	real	_	_	_	_	_	_	_	_	
8-4	603-604	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
8-5	605-607	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
8-6	608-618	nacionalna	A	ADJ	_	_	nacionalan	1[209]	nacionalna himna[209]	NID[209]	CVMWE-0216[2005]	1[2005]	CVMWE-0216[2005]	*[449]	Rečenica govori o himni jedne države, što se precizno poklapa sa značenjem svečane patriotske pesme zvanično usvojene kao izraz nacionalnog identiteta.[2005]	
8-7	619-624	himna	N	NOUN	_	_	himna	1[209]	nacionalna himna[209]	NID[209]	CVMWE-0216[2005]	1[2005]	CVMWE-0216[2005]	*[449]	Rečenica govori o himni jedne države, što se precizno poklapa sa značenjem svečane patriotske pesme zvanično usvojene kao izraz nacionalnog identiteta.[2005]	
8-8	625-632	Španije	N	PROPN	http://www.wikidata.org/entity/Q29	LOC	Španija	_	_	_	_	_	_	_	_	
8-9	632-633	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Njegov uticaj na strategiju Konfederacije bio je smanjen zbog loših profesionalnih odnosa sa predsednikom Džefersonom Dejvisom i drugim visokim generalima i zvaničnicima.
9-1	634-640	Njegov	PRO	DET	_	_	njegov	_	_	_	_	_	_	_	_	
9-2	641-647	uticaj	N	NOUN	_	_	uticaj	_	_	_	ENG30-11414608-n	7	ENG30-00157081-n;ENG30-00157957-n;ENG30-05194151-n;ENG30-05692910-n;ENG30-07338552-n;ENG30-11414411-n;ENG30-11414608-n	*	U ovom kontekstu, 'uticaj' označava učinak koji je određena osoba imala na strategiju Konfederacije, što je u skladu sa značenjem 'učinak jedne stvari (ili osobe) na drugu'.	
9-3	648-650	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
9-4	651-661	strategiju	N	NOUN	_	_	strategija	_	_	_	ENG30-05905348-n	2	ENG30-05905348-n;ENG30-06249177-n	*	U kontekstu se govori o uticaju pojedinca na sveukupni plan akcije Konfederacije, a ne direktno o vojnoj nauci ili veštini, pa je najpreciznije značenje 'razvijen i sistematski plan akcije'.	
9-5	662-675	Konfederacije	N	NOUN	http://www.wikidata.org/entity/Q81931	LOC	konfederacija	_	_	_	ENG30-08305114-n	2	ENG30-08303275-n;ENG30-08305114-n	*	U ovom istorijskom kontekstu 'Konfederacija' označava udruženje južnih država SAD (Konfederativne Države Amerike) koje su se udružile radi zajedničkog političkog i vojnog cilja tokom Američkog građanskog rata.	
9-6	676-679	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
9-7	680-682	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
9-8	683-690	smanjen	V	VERB	_	_	smanjiti	_	_	_	ENG30-00429060-v	4	ENG30-00233203-v;ENG30-00429060-v;ENG30-00441445-v;ENG30-02452614-v	*	U ovom kontekstu, 'smanjen' znači da je njegov uticaj postao manji nego što je bio, što odgovara značenju 'načiniti da nešto postane manje'.	
9-9	691-695	zbog	PREP	ADP	_	_	zbog	_	_	_	_	_	_	_	_	
9-10	696-701	loših	A	ADJ	_	_	loš	_	_	_	ENG30-01125429-a	4	ENG30-01125429-a;ENG30-01131043-a;ENG30-01587787-a;ENG30-02345713-a	*	Ovde se 'loših' odnosi na negativne ili neželjene kvalitete odnosa, odnosno da su odnosi bili negativni i nepovoljni, što najviše odgovara ovom značenju.	
