#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.
501-11	47-51	nije	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
501-12	52-56	umro	V	VERB	_	_	umreti	_	_	_	ENG30-00358431-v	3	ENG30-00358431-v;ENG30-00427683-v;ENG30-02109818-v	U ovom kontekstu, 'umro' znači da je osoba napustila fizički život usled srčanog udara, što precizno odgovara značenju pod ID-jem ENG30-00358431-v.	
501-13	57-59	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	
501-14	60-67	srčanog	A	ADJ	_	_	srčani	2[993]	srčani udar[993]	NID[993]	LLM-0247[2001]	1[2001]	LLM-0247[2001]	U ovom kontekstu, 'srčani udar' se odnosi na medicinsko stanje koje nastaje kada je dotok krvi u deo srca prekinut, što odgovara ponuđenom značenju.[2001]	
501-15	68-73	udara	N	NOUN	_	_	udar	2[993]	srčani udar[993]	NID[993]	LLM-0247[2001]	1[2001]	LLM-0247[2001]	U ovom kontekstu, 'srčani udar' se odnosi na medicinsko stanje koje nastaje kada je dotok krvi u deo srca prekinut, što odgovara ponuđenom značenju.[2001]	
501-16	74-79	1921.	A	ADJ	_	_	1921.	_	_	_	_	_	_	_	
501-17	80-86	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	U ovom kontekstu, '1921. godine' označava kalendarsku godinu po Gregorijanskom kalendaru, što odgovara ovom značenju.	
501-18	86-87	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Crvena armija je upala na teritoriju Poljske sa istoka.
502-1	87-93	Crvena	A	ADJ	http://www.wikidata.org/entity/Q251395[187]	ORG[187]	crven	_	_	_	ENG30-00381097-a	1	ENG30-00381097-a	U ovom kontekstu, 'Crvena armija' se odnosi na vojsku koja je dobila ime po boji crvene, što je povezano sa simbolikom boje krvi i revolucije, pa je značenje povezano sa bojom najpreciznije.	
502-2	94-100	armija	N	NOUN	http://www.wikidata.org/entity/Q251395[187]	ORG[187]	armija	_	_	_	ENG30-08191230-n	3	ENG30-08183290-n;ENG30-08191230-n;ENG30-08397255-n	U ovom kontekstu, 'armija' se odnosi na organizaciju vojnih kopnenih snaga, konkretno na vojsku Sovjetskog Saveza koja je izvršila invaziju na Poljsku.	
502-3	101-103	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
502-4	104-109	upala	V	VERB	_	_	upasti	_	_	_	DRJ0-184859/2a.	8	DRJ0-184859/1;DRJ0-184859/2a.;DRJ0-184859/2b.;DRJ0-184859/3a.;DRJ0-184859/3b.;DRJ0-184859/3v.;DRJ0-184859/4;DRJ0-184859/5	U ovom kontekstu, 'upala' znači da je Crvena armija silom ušla ili prodrla na teritoriju Poljske, što odgovara značenju 'silom ući, prodreti; iznenada doći, banuti'.	
502-5	110-112	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	
502-6	113-123	teritoriju	N	NOUN	_	_	teritorija	_	_	_	ENG30-08493064-n	1	ENG30-08493064-n	U ovom kontekstu, 'teritorija' se odnosi na geografsko područje koje je pod jurisdikcijom suverene države, u ovom slučaju Poljske.	
502-7	124-131	Poljske	N	PROPN	http://www.wikidata.org/entity/Q36	LOC	Poljska	_	_	_	_	_	_	_	
502-8	132-134	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	_	
502-9	135-141	istoka	N	NOUN	_	_	istok	_	_	_	ENG30-13832355-n	1	ENG30-13832355-n	U ovom kontekstu, 'istok' označava pravac ili stranu sveta sa koje je Crvena armija ušla u Poljsku, što odgovara definiciji glavne strane sveta 90 stepeni od severa.	
502-10	141-142	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Bol može biti jači tokom noći i može se pojačati tokom vremena dok ne postane nepodnošljiv i neprekidan.
503-1	142-145	Bol	N	NOUN	_	_	bol	_	_	_	ENG30-14322699-n	2	ENG30-07535010-n;ENG30-14322699-n	U ovom kontekstu, 'bol' se odnosi na fizički simptom koji može postati jači i neprekidan, što jasno ukazuje na značenje fizičke patnje ili simptoma povrede ili poremećaja.	
503-2	146-150	može	V	VERB	_	_	moći	_	_	_	ENG30-02523221-v	1	ENG30-02523221-v	U ovom kontekstu, 'može' označava mogućnost da se bol pojača ili postane jači, što odgovara značenju 'istrajati ili uspevati' u smislu da bol ima sposobnost da se razvije ili nastavi.	
503-3	151-155	biti	V	AUX	_	_	biti	_	_	_	_	_	_	_	
503-4	156-160	jači	A	ADJ	_	_	jak	_	_	_	ENG30-01512275-a	9	ENG30-00803275-a;ENG30-00835158-a;ENG30-01068609-a;ENG30-01158974-a;ENG30-01509527-a;ENG30-01512275-a;ENG30-01824244-a;ENG30-01961786-a;ENG30-02321009-a	U ovom kontekstu, 'jači' opisuje bol koji se ispoljava u visokom stepenu ili intenzitetu, što odgovara značenju 'karakteriše ga visok stepen ili intenzitet'.	
503-5	161-166	tokom	PREP	ADP	_	_	tokom	_	_	_	_	_	_	_	
503-6	167-171	noći	N	NOUN	_	_	noć	_	_	_	ENG30-15167027-n	3	ENG30-15155747-n;ENG30-15167027-n;ENG30-15167474-n	U ovom kontekstu, 'noć' se odnosi na period posle zalaska sunca a pre njegovog izlaska, kada je napolju mračno, što je relevantno za opisivanje kada se bol pojačava.	
503-7	172-173	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
503-8	174-178	može	V	VERB	_	_	moći	_	_	_	ENG30-02523221-v	1	ENG30-02523221-v	U ovom kontekstu, 'može' označava mogućnost ili potencijal da se nešto desi, a ne istrajavanje ili uspevanje, tako da ponuđeno značenje nije odgovarajuće.	
503-9	179-181	se	PAR	PART	_	_	se	1	*	IRV	ENG30-00226566-v[2002]	2[2002]	CVMWE-0298;ENG30-00226566-v[2002]	U ovom kontekstu, 'pojačati se' znači da bol dobija na intenzitetu tokom vremena, što odgovara ovom značenju.[2002]	
503-10	182-190	pojačati	V	VERB	_	_	pojačati	1	pojačati se	IRV	ENG30-00226566-v[2002]	2[2002]	CVMWE-0298;ENG30-00226566-v[2002]	U ovom kontekstu, 'pojačati se' znači da bol dobija na intenzitetu tokom vremena, što odgovara ovom značenju.[2002]	
503-11	191-196	tokom	PREP	ADP	_	_	tokom	2[994]	tokom vremena[994]	AdvID[994]	CVMWE-0453[2003]	1[2003]	CVMWE-0453[2003]	U ovom kontekstu, 'tokom vremena' znači da se bol postepeno pojačava kroz duži vremenski period, što odgovara ponuđenom značenju.[2003]	
503-12	197-204	vremena	N	NOUN	_	_	vreme	2[994]	tokom vremena[994]	AdvID[994]	CVMWE-0453[2003]	1[2003]	CVMWE-0453[2003]	U ovom kontekstu, 'tokom vremena' znači da se bol postepeno pojačava kroz duži vremenski period, što odgovara ponuđenom značenju.[2003]	
503-13	205-208	dok	CONJ	SCONJ	_	_	dok	_	_	_	_	_	_	_	
503-14	209-211	ne	PAR	PART	_	_	ne	_	_	_	_	_	_	_	
503-15	212-219	postane	V	VERB	_	_	postati	_	_	_	ENG30-00149583-v	5	ENG30-00094460-v;ENG30-00149583-v;ENG30-02381571-v;ENG30-02623529-v;ENG30-02626604-v	U ovom kontekstu, 'postati' znači da bol ulazi ili poprima stanje nepodnošljivosti i neprekidnosti, što najpreciznije odgovara ovom značenju.	
503-16	220-232	nepodnošljiv	A	ADJ	_	_	nepodnošljiv	_	_	_	ENG30-02347979-a	2	ENG30-02347979-a;ENG30-02436025-a	U ovom kontekstu, 'nepodnošljiv' opisuje bol koji je toliko jak da ga je nemoguće podneti, što najpreciznije odgovara značenju 'nemoguće podneti'.	
503-17	233-234	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
503-18	235-245	neprekidan	A	ADJ	_	_	neprekidan	_	_	_	ENG30-00594413-a	5	ENG30-00516360-a;ENG30-00594413-a;ENG30-00595299-a;ENG30-00597424-a;ENG30-01755024-a	U ovom kontekstu, 'neprekidan' opisuje bol koji traje bez prekida tokom vremena, što se najpreciznije poklapa sa značenjem 'postojan u vremenu ili prostoru bez prekida'.	
503-19	245-246	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Frederik IX je bio kralj Danske od 1947. do 1972. godine.
504-1	246-254	Frederik	N	PROPN	http://www.wikidata.org/entity/Q151312[188]	PERS[188]	Frederik	_	_	_	_	_	_	_	
504-2	255-257	IX	RN	NUM	http://www.wikidata.org/entity/Q151312[188]	PERS[188]	IX	_	_	_	_	_	_	_	
504-3	258-260	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
504-4	261-264	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	
504-5	265-270	kralj	N	NOUN	http://www.wikidata.org/entity/Q12097	ROLE	kralj	_	_	_	ENG30-10231515-n	4	ENG30-03618101-n;ENG30-03618219-n;ENG30-09840217-n;ENG30-10231515-n	U ovom kontekstu, 'kralj' se odnosi na muškog suverena, odnosno vladara kraljevstva Danske, što precizno odgovara ovom značenju.	
504-6	271-277	Danske	N	PROPN	http://www.wikidata.org/entity/Q35	LOC	Danska	_	_	_	_	_	_	_	
504-7	278-280	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	
504-8	281-286	1947.	A	ADJ	_	_	1947.	_	_	_	_	_	_	_	
504-9	287-289	do	PREP	ADP	_	_	do	_	_	_	_	_	_	_	
504-10	290-295	1972.	A	ADJ	_	_	1972.	_	_	_	_	_	_	_	
504-11	296-302	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	U ovom kontekstu, 'godine' se odnosi na kalendarske godine po Gregorijanskom kalendaru, jer se navode tačne godine vladavine kralja.	
504-12	302-303	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Votsonova je za svoj nastup dobila nagradu „Otto“ od nemačkog časopisa „Bravo“.
505-1	303-312	Votsonova	A	ADJ	http://www.wikidata.org/entity/Q39476	PERS	Votsonov	_	_	_	CVDf-394/0	1	CVDf-394/0	U ovom kontekstu, 'Votsonova' je prisvojni pridev od prezimena Votson, koji se koristi za označavanje osobe ženskog pola sa tim prezimenom, što je u skladu sa značenjem.	
505-2	313-315	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
505-3	316-318	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	
505-4	319-323	svoj	PRO	DET	_	_	svoj	_	_	_	_	_	_	_	
505-5	324-330	nastup	N	NOUN	_	_	nastup	_	_	_	ENG30-06892016-n	3	ENG30-00520672-n;ENG30-06892016-n;ENG30-07018931-n	U ovom kontekstu, 'nastup' se odnosi na kratko izvođenje (verovatno glumačko ili umetničko) koje je deo većeg programa, što je najbliže značenju ENG30-06892016-n.	
505-6	331-337	dobila	V	VERB	_	_	dobiti	_	_	_	ENG30-02210119-v	19	ENG30-00056930-v;ENG30-00065639-v;ENG30-00087736-v;ENG30-00094460-v;ENG30-00522751-v;ENG30-00524682-v;ENG30-01108148-v;ENG30-02108654-v;ENG30-02109645-v;ENG30-02210119-v;ENG30-02238085-v;ENG30-02247390-v;ENG30-02288295-v;ENG30-02292125-v;ENG30-02293148-v;ENG30-02315525-v;ENG30-02355596-v;ENG30-02359340-v;ENG30-02611373-v	U ovom kontekstu, 'dobiti' znači primiti nagradu, odnosno doći u posed nečega (nagrade), što najpreciznije odgovara ovom značenju.	
505-7	338-345	nagradu	N	NOUN	_	_	nagrada	_	_	_	ENG30-06696483-n	5	ENG30-01219551-n;ENG30-06696483-n;ENG30-07166281-n;ENG30-07295629-n;ENG30-13268146-n	U ovom kontekstu, 'nagrada' se odnosi na konkretan simbol (npr. trofej, plaketa) koji se dodeljuje kao priznanje za postignuće, što odgovara ovom značenju.	
505-8	346-347	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	
505-9	347-351	Otto	N	PROPN	http://www.wikidata.org/entity/Q487719	WORK	Otto	_	_	_	_	_	_	_	
505-10	351-352	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	
505-11	353-355	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	
505-12	356-364	nemačkog	A	ADJ	*	DEMO	nemački	_	_	_	ENG30-02957469-a	1	ENG30-02957469-a	Ovde 'nemački' opisuje časopis koji potiče iz Nemačke, odnosno vezan je za Nemačku, njene ljude ili kulturu, što odgovara ponuđenom značenju.	
505-13	365-373	časopisa	N	NOUN	_	_	časopis	_	_	_	ENG30-06593296-n	3	ENG30-03704210-n;ENG30-06593296-n;ENG30-08063303-n	U ovom kontekstu, 'časopis' se odnosi na publikaciju koja izlazi u redovnim razmacima, konkretno na 'Bravo', a ne na fizički primerak ili firmu.	
505-14	374-375	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	
505-15	375-380	Bravo	N	PROPN	http://www.wikidata.org/entity/Q593268	WORK	Bravo	_	_	_	_	_	_	_	
505-16	380-381	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	
505-17	381-382	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Godine 1814. Kristijanija je ponovo postala prava prestonica, kada je prestala da postoji unija sa Danskom.
506-1	382-388	Godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	U ovom kontekstu, 'godine 1814.' označava određenu kalendarsku godinu po Gregorijanskom kalendaru, što najpreciznije odgovara ovom značenju.	
506-2	389-394	1814.	A	ADJ	_	_	1814.	_	_	_	_	_	_	_	
506-3	395-407	Kristijanija	N	PROPN	http://www.wikidata.org/entity/Q585	LOC	Kristijanija	_	_	_	_	_	_	_	
506-4	408-410	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
506-5	411-417	ponovo	ADV	ADV	_	_	ponovo	_	_	_	ENG30-00040365-b	1	ENG30-00040365-b	U ovom kontekstu, 'ponovo' znači da je Kristijanija još jednom, odnosno nanovo, postala prestonica, što odgovara značenju 'nanovo'.	
506-6	418-425	postala	V	VERB	_	_	postati	_	_	_	ENG30-00149583-v	5	ENG30-00094460-v;ENG30-00149583-v;ENG30-02381571-v;ENG30-02623529-v;ENG30-02626604-v	U ovom kontekstu, 'postala' označava da je Kristijanija ušla u novo stanje, odnosno ponovo stekla status prestonice, što odgovara značenju 'ući ili poprimiti određeno stanje'.	
506-7	426-431	prava	A	ADJ	_	_	pravi	_	_	_	ENG30-01932973-a	3	ENG30-00631391-a;ENG30-01878466-a;ENG30-01932973-a	U ovom kontekstu, 'prava' prestonica znači da je Kristijanija postala stvarna, zvanična prestonica, a ne samo nominalna ili privremena, što odgovara značenju 'onaj koji postoji ili se pojavljuje u stvarnosti'.	
506-8	432-442	prestonica	N	NOUN	_	_	prestonica	_	_	_	ENG30-08518505-n	1	ENG30-08518505-n	U ovom kontekstu, 'prestonica' se odnosi na grad koji je sedište vlade, što je najpreciznije značenje iz ponuđene liste.	
506-9	442-443	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
506-10	444-448	kada	CONJ	SCONJ	_	_	kada	_	_	_	_	_	_	_	
506-11	449-451	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
506-12	452-460	prestala	V	VERB	_	_	prestati	_	_	_	ENG30-02680814-v	2	ENG30-02680814-v;ENG30-02683840-v	U ovom kontekstu, 'prestati' znači da je unija sa Danskom bila zaustavljena, odnosno više nije postojala, što odgovara značenju 'zaustaviti neko stanje ili aktivnost'.	
506-13	461-463	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	
506-14	464-471	postoji	V	VERB	_	_	postojati	_	_	_	ENG30-02603699-v	1	ENG30-02603699-v	U ovom kontekstu, 'postojati' znači da unija sa Danskom više nije imala egzistenciju, odnosno prestala je da postoji, što odgovara ponuđenom značenju.	
506-15	472-477	unija	N	NOUN	_	_	unija	_	_	_	ENG30-08304895-n	4	ENG30-00381680-n;ENG30-07998712-n;ENG30-08304895-n;ENG30-13782769-n	U ovom kontekstu, 'unija' se odnosi na političku jedinicu nastalu spajanjem Norveške i Danske, što odgovara značenju političke unije prethodno nezavisnih entiteta.	
506-16	478-480	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	_	
506-17	481-488	Danskom	N	PROPN	http://www.wikidata.org/entity/Q35	LOC	Danska	_	_	_	_	_	_	_	
506-18	488-489	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Međunarodna hemijska olimpijada (IChO) je godišnje akademsko takmičenje učenika srednjih škola.
507-1	489-500	Međunarodna	A	ADJ	http://www.wikidata.org/entity/Q861060[189]	EVENT[189]	međunarodan	_	_	_	ENG30-01568375-a	1	ENG30-01568375-a	U ovom kontekstu, 'međunarodna' označava da hemijska olimpijada uključuje učesnike iz više država, što odgovara značenju 'koji se tiče ili pripada bar dvema nacijama ili državama'.	
507-2	501-509	hemijska	A	ADJ	http://www.wikidata.org/entity/Q861060[189]	EVENT[189]	hemijski	_	_	_	ENG30-02692624-a	2	ENG30-02692624-a;ENG30-02692966-a	U ovom kontekstu, 'hemijska' se odnosi na olimpijadu koja je vezana za nauku hemiju, a ne na materijale ili supstance, pa je najpreciznije značenje ono koje se odnosi na hemiju kao naučnu disciplinu.	
507-3	510-520	olimpijada	N	NOUN	http://www.wikidata.org/entity/Q861060[189]	EVENT[189]	olimpijada	_	_	_	ENG30-07457126-n	1	ENG30-07457126-n	U ovom kontekstu, 'olimpijada' se odnosi na međunarodno akademsko takmičenje iz hemije, a ne na sportske igre iz antičke Grčke ili njihove moderne verzije, pa ponuđeno značenje nije primenjivo.	
507-4	521-522	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	
507-5	522-526	IChO	ABB	X	http://www.wikidata.org/entity/Q861060	EVENT	IChO	_	_	_	_	_	_	_	
507-6	526-527	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	
507-7	528-530	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
507-8	531-539	godišnje	A	ADJ	_	_	godišnji	_	_	_	ENG30-01969150-a	2	ENG30-00678024-a;ENG30-01969150-a	U ovom kontekstu, 'godišnje' znači da se olimpijada održava svake godine, što odgovara značenju 'koji se dešava svake godine'.	
507-9	540-549	akademsko	A	ADJ	_	_	akademski	_	_	_	ENG30-02599939-a	3	ENG30-02083615-a;ENG30-02083908-a;ENG30-02599939-a	U ovom kontekstu, 'akademsko' se odnosi na takmičenje povezano sa obrazovanjem i školama, odnosno akademskim institucijama.	
507-10	550-560	takmičenje	N	NOUN	_	_	takmičenje	_	_	_	ENG30-07456188-n	1	ENG30-07456188-n	U kontekstu rečenice, 'takmičenje' se odnosi na događaj gde se učenici nadmeću i bira se pobednik, što precizno odgovara ponuđenom značenju.	
507-11	561-568	učenika	N	NOUN	http://www.wikidata.org/entity/Q48282	ROLE	učenik	_	_	_	ENG30-10559288-n	3	ENG30-10251779-n;ENG30-10559288-n;ENG30-10665698-n	U kontekstu se jasno navodi da su u pitanju srednjoškolci, odnosno deca koja pohađaju školu, što najpreciznije odgovara ovom značenju.	
507-12	569-577	srednjih	A	ADJ	_	_	srednji	1[995]	srednja škola[995]	NID[995]	ENG30-08284481-n[2004]	2[2004]	ENG30-08284481-n;ENG30-08409617-n[2004]	U kontekstu se govori o tipu škole koju pohađaju učenici pre fakulteta, bez naglaska na to da li je škola javna ili privatna, što najpreciznije odgovara značenju ENG30-08284481-n.[2004]	
507-13	578-583	škola	N	NOUN	_	_	škola	1[995]	srednja škola[995]	NID[995]	ENG30-08284481-n[2004]	2[2004]	ENG30-08284481-n;ENG30-08409617-n[2004]	U kontekstu se govori o tipu škole koju pohađaju učenici pre fakulteta, bez naglaska na to da li je škola javna ili privatna, što najpreciznije odgovara značenju ENG30-08284481-n.[2004]	
507-14	583-584	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=„Marcha Real“ je nacionalna himna Španije.
508-1	584-585	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	
508-2	585-591	Marcha	F	X	http://www.wikidata.org/entity/Q130940[190]	WORK[190]	Marcha	_	_	_	_	_	_	_	
508-3	592-596	Real	F	X	http://www.wikidata.org/entity/Q130940[190]	WORK[190]	real	_	_	_	_	_	_	_	
508-4	596-597	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	
508-5	598-600	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
508-6	601-611	nacionalna	A	ADJ	_	_	nacionalan	1[996]	nacionalna himna[996]	NID[996]	CVMWE-0216[2005]	1[2005]	CVMWE-0216[2005]	U ovom kontekstu, 'nacionalna himna' označava zvaničnu patriotsku pesmu Španije, što se precizno poklapa sa datim značenjem.[2005]	
508-7	612-617	himna	N	NOUN	_	_	himna	1[996]	nacionalna himna[996]	NID[996]	CVMWE-0216[2005]	1[2005]	CVMWE-0216[2005]	U ovom kontekstu, 'nacionalna himna' označava zvaničnu patriotsku pesmu Španije, što se precizno poklapa sa datim značenjem.[2005]	
508-8	618-625	Španije	N	PROPN	http://www.wikidata.org/entity/Q29	LOC	Španija	_	_	_	_	_	_	_	
508-9	625-626	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Njegov uticaj na strategiju Konfederacije bio je smanjen zbog loših profesionalnih odnosa sa predsednikom Džefersonom Dejvisom i drugim visokim generalima i zvaničnicima.
509-1	626-632	Njegov	PRO	DET	_	_	njegov	_	_	_	_	_	_	_	
509-2	633-639	uticaj	N	NOUN	_	_	uticaj	_	_	_	ENG30-11414608-n	7	ENG30-00157081-n;ENG30-00157957-n;ENG30-05194151-n;ENG30-05692910-n;ENG30-07338552-n;ENG30-11414411-n;ENG30-11414608-n	U ovom kontekstu, 'uticaj' se odnosi na učinak koji je ta osoba imala na strategiju Konfederacije, što najpreciznije odgovara značenju 'Učinak jedne stvari (ili osobe) na drugu.'	
509-3	640-642	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	
509-4	643-653	strategiju	N	NOUN	_	_	strategija	_	_	_	ENG30-06249177-n	2	ENG30-05905348-n;ENG30-06249177-n	U ovom kontekstu, 'strategija' se odnosi na vođenje i planiranje rata na visokom nivou, što je u skladu sa značenjem grane ratne veštine koja se bavi pripremom i vođenjem rata u celini.	
509-5	654-667	Konfederacije	N	NOUN	http://www.wikidata.org/entity/Q81931	LOC	konfederacija	_	_	_	ENG30-08305114-n	2	ENG30-08303275-n;ENG30-08305114-n	U ovom kontekstu, 'Konfederacija' se odnosi na udruženje država (Južna Konfederacija tokom Američkog građanskog rata), što odgovara značenju udruženja država za zajedničko djelovanje.	
509-6	668-671	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	
509-7	672-674	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
509-8	675-682	smanjen	V	VERB	_	_	smanjiti	_	_	_	ENG30-00429060-v	4	ENG30-00233203-v;ENG30-00429060-v;ENG30-00441445-v;ENG30-02452614-v	U ovom kontekstu, 'smanjen' znači da je uticaj postao manji nego što je bio, što najpreciznije odgovara značenju 'načiniti da nešto postane manje'.	
509-9	683-687	zbog	PREP	ADP	_	_	zbog	_	_	_	_	_	_	_	
509-10	688-693	loših	A	ADJ	_	_	loš	_	_	_	ENG30-01125429-a	4	ENG30-01125429-a;ENG30-01131043-a;ENG30-01587787-a;ENG30-02345713-a	U ovom kontekstu, 'loših' odnosi se na profesionalne odnose koji imaju negativne ili neželjene kvalitete, što je uticalo na strategiju Konfederacije.	
509-11	694-708	profesionalnih	A	ADJ	_	_	profesionalan	_	_	_	ENG30-01870100-a	1	ENG30-01870100-a	U ovom kontekstu, 'profesionalni odnosi' se odnosi na odnose koji su karakteristični za ljude koji obavljaju određenu profesiju, tj. odnose među kolegama na poslu, što odgovara ponuđenom značenju.	
509-12	709-715	odnosa	N	NOUN	_	_	odnos	_	_	_	ENG30-00040962-n	4	ENG30-00031921-n;ENG30-00040962-n;ENG30-13815449-n;ENG30-13928668-n	U ovom kontekstu, 'odnosi' se odnosi na međuljudske veze i interakcije između osobe i drugih visokih zvaničnika, što je najpreciznije opisano ovim značenjem.	
509-13	716-718	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	_	
